timestamp_s,diameter_mm,confidence,stimulus_active
7.579,4.96,62.9,1
7.611,4.97,63.3,1
7.643,4.96,63.1,1
7.675,4.90,63.5,1
7.707,4.91,63.3,1
7.740,4.90,63.2,1
7.771,4.86,62.7,1
7.804,4.81,62.4,1
7.835,4.80,62.4,1
7.867,4.79,63.3,1
7.899,4.76,63.1,1
7.947,4.71,62.9,1
7.979,4.70,63.0,1
8.011,4.73,62.5,1
8.025,4.72,63.2,0
8.057,4.71,63.3,0
8.089,4.70,63.1,0
8.122,4.66,62.4,0
8.152,4.67,63.6,0
8.185,4.75,63.4,0
8.218,4.74,61.9,0
8.265,4.76,63.2,0
8.297,4.75,61.9,0
8.329,4.81,62.6,0
8.361,4.81,62.9,0
8.393,4.86,63.3,0
8.425,4.94,62.7,0
8.457,4.96,62.2,0
8.489,5.00,63.1,0
8.522,5.03,63.0,0
8.555,5.09,62.7,0
8.586,5.16,63.5,0
8.634,5.23,63.4,0
8.667,5.34,63.1,0
8.698,5.33,62.7,0
8.730,5.40,63.0,0
8.763,5.50,63.1,0
8.793,5.52,62.9,0
8.826,5.59,62.6,0
8.857,5.62,62.5,0
8.891,5.70,62.5,0
8.923,5.75,62.9,0
8.970,5.80,63.3,0
9.003,5.77,62.8,0
9.034,5.81,62.9,0
9.067,5.85,63.2,0
9.098,5.90,63.2,0
9.131,5.91,63.5,0
9.162,5.92,62.5,0
9.194,5.92,63.0,0
9.226,6.00,62.3,0
9.259,5.97,62.8,0
9.292,6.02,62.8,0
9.340,5.99,62.9,0
9.371,6.04,63.0,0
9.403,6.03,62.8,0
9.435,6.03,62.5,0
9.467,6.10,63.0,0
9.499,6.13,63.0,0
9.531,6.13,63.3,0
9.563,6.11,62.7,0
9.595,6.16,62.3,0
9.626,6.19,62.9,0
9.659,6.24,62.5,0
9.707,6.22,62.5,0
9.738,6.34,63.2,0
9.772,6.31,63.0,0
9.804,6.33,62.9,0
9.834,6.33,62.8,0
9.866,6.34,63.0,0
9.899,6.39,62.9,0
9.931,6.36,62.7,0
9.962,6.32,62.6,0
9.995,6.35,62.9,0
10.043,6.36,62.8,0
10.074,6.36,62.7,0
10.107,6.36,63.1,0
10.139,6.39,62.9,0
10.170,6.40,62.7,0
10.202,6.37,62.7,0
10.235,6.42,62.9,0
10.267,6.40,62.9,0
10.299,6.40,62.7,0
10.331,6.42,62.8,0
10.363,6.46,62.3,0
10.411,6.46,62.9,0
10.442,6.49,62.3,0
10.474,6.50,62.4,0
10.507,6.50,62.5,0
10.539,6.56,62.6,0
10.571,6.52,62.4,0
10.602,6.53,62.4,0
10.634,6.50,62.3,0
10.666,6.49,62.1,0
10.699,6.48,62.0,0
10.747,6.50,62.6,0
10.779,6.46,62.4,0
10.811,6.44,61.9,0
10.842,6.51,62.5,0
10.874,6.51,62.5,0
10.907,6.55,62.7,0
10.939,6.56,62.8,0
10.969,6.55,62.5,0
11.002,6.57,62.3,0
11.035,6.57,62.7,0
11.067,6.62,62.6,0
11.115,6.69,62.9,0
11.147,6.68,62.6,0
11.178,6.63,62.5,0
11.211,6.67,62.3,0
11.243,6.70,62.7,0
11.275,6.73,62.6,0
11.307,6.75,62.3,0
11.339,6.73,62.6,0
11.371,6.73,62.8,0
11.402,6.74,62.4,0
11.451,6.77,62.4,0
11.483,6.74,62.7,0
11.515,6.80,62.8,0
11.546,6.77,62.6,0
11.578,6.73,62.6,0
11.610,6.82,71.7,0
11.643,6.82,72.5,0
11.674,6.86,72.5,0
11.706,6.86,72.4,0
11.739,6.77,62.3,0
11.771,6.82,72.6,0
11.818,6.82,71.5,0
11.850,6.87,72.3,0
11.882,6.84,71.4,0
11.915,6.83,71.5,0
11.945,6.85,71.6,0
11.979,6.90,72.0,0
12.011,6.89,72.1,0
12.042,6.96,72.4,0
12.075,6.98,72.8,0
12.107,6.92,71.9,0
12.155,6.98,71.3,0
12.187,7.00,71.5,0
12.219,7.05,71.5,0
12.251,7.06,72.0,0
12.283,7.07,72.3,0
12.315,7.02,71.7,0
12.347,7.08,72.4,0
12.378,7.06,71.7,0
12.411,7.08,72.1,0
12.443,7.05,72.1,0
12.475,7.06,72.2,0
12.522,7.04,71.7,0
12.554,7.08,71.0,0
12.587,7.10,72.5,0
12.618,7.08,71.3,0
12.651,7.12,72.7,0
12.683,7.11,71.7,0
12.715,7.13,71.4,0
12.747,7.15,72.2,0
12.779,7.16,71.6,0
12.811,7.14,71.1,0
12.859,7.11,71.6,0
12.890,7.05,71.5,0
12.922,7.02,71.9,0
12.954,7.05,71.7,0
12.986,6.98,71.5,0
13.019,7.00,71.5,0
13.050,7.01,72.3,0
13.083,6.97,71.7,0
13.115,7.01,72.2,0
13.147,6.95,72.2,0
13.178,6.91,71.3,0
13.227,6.95,71.7,0
13.259,6.88,71.6,0
13.290,6.88,72.0,0
13.322,6.92,71.9,0
13.355,6.88,72.5,0
13.387,6.91,72.1,0
13.419,6.86,72.3,0
13.450,6.93,72.6,0
13.481,6.88,72.6,0
13.515,6.90,72.3,0
13.546,6.93,72.4,0
13.594,6.90,72.5,0
13.627,6.87,72.1,0
13.659,6.83,72.8,0
13.691,6.83,72.4,0
13.723,6.77,62.3,0
13.754,6.76,62.2,0
13.787,6.73,63.0,0
13.818,6.68,62.6,0
13.851,6.71,62.9,0
13.883,6.69,62.9,0
13.930,6.67,62.1,0
13.963,6.65,62.0,0
13.995,6.65,62.6,0
14.027,6.69,62.5,0
14.058,6.70,62.6,0
14.091,6.70,62.1,0
14.122,6.66,62.1,0
14.155,6.69,62.9,0
14.186,6.66,62.4,0
14.219,6.65,62.0,0
14.252,6.61,62.5,0
14.299,6.64,62.4,0
14.330,6.62,62.2,0
14.362,6.59,62.5,0
14.396,6.63,62.4,0
14.427,6.62,62.4,0
14.459,6.61,62.4,0
14.491,6.62,62.5,0
14.522,6.62,62.9,0
14.554,6.66,62.4,0
14.587,6.61,62.6,0
14.633,6.67,62.5,0
14.666,6.68,62.3,0
14.697,6.69,61.8,0
14.729,6.71,62.7,0
14.761,6.70,62.3,0
14.793,6.70,62.1,0
14.824,6.76,62.5,0
14.858,6.74,62.5,0
14.889,6.79,62.4,0
