timestamp_s,diameter_mm,confidence,stimulus_active
0.027,6.30,62.3,0
0.059,6.31,61.4,0
0.093,6.33,61.6,0
0.126,6.33,62.0,0
0.157,6.39,62.8,0
0.189,6.40,61.9,0
0.221,6.44,62.3,0
0.253,6.49,62.2,0
0.285,6.52,62.2,0
0.333,6.53,62.7,0
0.364,6.53,61.5,0
0.397,6.59,62.6,0
0.429,6.58,61.9,0
0.461,6.58,61.9,0
0.493,6.60,62.8,0
0.525,6.60,61.9,0
0.557,6.65,62.2,0
0.589,6.59,62.2,0
0.621,6.57,62.3,0
0.668,6.57,62.1,0
0.700,6.52,62.2,0
0.732,6.57,61.7,0
0.764,6.58,61.8,0
0.797,6.56,62.0,0
0.829,6.55,62.3,0
0.860,6.59,62.3,0
0.892,6.61,62.2,0
0.925,6.63,61.8,0
0.955,6.65,61.7,0
0.989,6.59,61.9,0
1.034,6.63,61.7,0
1.070,6.64,61.6,0
1.101,6.66,62.3,0
1.133,6.71,62.2,0
1.166,6.68,61.6,0
1.198,6.68,62.4,0
1.229,6.65,61.9,0
1.261,6.66,61.8,0
1.293,6.68,62.0,0
1.325,6.68,61.9,0
1.373,6.63,61.9,0
1.405,6.63,62.3,0
1.438,6.62,62.2,0
1.469,6.58,61.9,0
1.501,6.57,62.2,0
1.533,6.59,62.6,0
1.565,6.58,61.6,0
1.596,6.59,62.1,0
1.629,6.57,62.1,0
1.661,6.59,61.6,0
1.692,6.58,62.5,0
1.742,6.61,61.9,0
1.773,6.59,61.4,0
1.804,6.62,62.3,0
1.837,6.62,61.8,0
1.869,6.61,61.8,0
1.902,6.62,62.3,0
1.933,6.62,62.2,0
1.964,6.65,62.3,0
1.997,6.65,62.3,0
2.028,6.67,62.2,0
2.061,6.69,62.0,0
2.109,6.69,62.3,0
2.141,6.72,62.1,0
2.173,6.71,62.2,0
2.204,6.72,62.2,0
2.238,6.72,61.5,0
2.269,6.71,61.4,0
2.301,6.75,62.2,0
2.332,6.76,62.6,0
2.365,6.77,61.7,0
2.396,6.83,71.9,0
2.445,6.83,71.7,0
2.478,6.90,71.4,0
2.509,6.85,72.1,0
2.541,6.86,71.9,0
2.572,6.87,72.0,0
2.605,6.86,72.2,0
2.637,6.87,71.9,0
2.669,6.86,71.4,0
2.700,6.88,72.0,0
2.733,6.85,71.9,0
2.764,6.88,72.5,0
2.813,6.88,72.2,0
2.845,6.88,72.1,0
2.877,6.86,72.2,0
2.909,6.88,71.3,0
2.940,6.91,72.4,0
2.972,6.89,71.9,0
3.004,6.91,71.7,0
3.037,6.86,71.9,0
3.070,6.84,72.0,0
3.100,6.80,61.7,0
3.148,6.83,72.7,0
3.180,6.80,61.7,0
3.213,6.78,62.2,0
3.245,6.78,61.3,0
3.277,6.76,61.6,0
3.309,6.76,62.2,0
3.340,6.76,61.8,0
3.373,6.78,62.1,0
3.404,6.78,61.3,0
3.437,6.78,62.1,0
3.468,6.79,62.2,0
3.516,6.80,61.5,0
3.548,6.78,61.6,0
3.580,6.76,61.9,0
3.613,6.74,62.2,0
3.645,6.71,62.2,0
3.677,6.68,61.9,0
3.709,6.65,61.8,0
3.741,6.65,62.3,0
3.773,6.69,61.8,0
3.804,6.69,61.9,0
3.853,6.70,61.9,0
3.884,6.70,62.0,0
3.916,6.71,62.0,0
3.948,6.75,62.2,0
3.981,6.77,61.9,0
4.012,6.84,71.9,0
4.044,6.81,72.1,0
4.076,6.83,71.6,0
4.108,6.84,72.0,0
4.140,6.87,71.5,0
4.172,6.89,72.1,0
4.221,6.94,71.7,0
4.253,6.94,71.7,0
4.284,6.97,71.8,0
4.316,6.97,71.2,0
4.349,7.04,72.0,0
4.381,7.08,71.4,0
4.412,7.09,71.0,0
4.445,7.07,71.8,0
4.477,7.06,71.7,0
4.509,7.05,71.6,0
4.556,7.09,72.1,0
4.588,7.13,71.5,0
4.620,7.15,72.2,0
4.652,7.17,71.6,0
4.685,7.18,71.8,0
4.716,7.19,71.7,0
4.748,7.18,71.3,0
4.781,7.16,72.2,0
4.812,7.17,71.9,0
4.846,7.15,71.4,0
4.876,7.11,71.5,0
4.925,7.14,71.7,0
4.956,7.12,71.8,0
4.989,7.15,71.7,0
5.019,7.15,71.9,0
5.027,7.09,71.8,1
5.058,7.07,71.7,1
5.092,7.03,71.2,1
5.123,7.05,71.8,1
5.155,7.03,72.1,1
5.187,7.07,72.2,1
5.235,7.10,72.3,1
5.267,7.11,71.6,1
5.299,7.09,71.6,1
5.331,7.07,72.0,1
5.363,7.07,71.4,1
5.395,7.02,71.5,1
5.427,6.86,71.8,1
5.460,6.73,61.3,1
5.491,6.57,62.0,1
5.524,6.40,61.4,1
5.555,6.28,61.9,1
5.603,6.15,62.1,1
5.635,6.07,62.2,1
5.667,5.95,62.1,1
5.699,5.88,62.1,1
5.731,5.82,61.9,1
5.763,5.74,62.2,1
5.795,5.75,61.6,1
5.827,5.67,61.6,1
5.858,5.63,62.4,1
5.891,5.57,62.1,1
5.923,5.55,62.2,1
5.971,5.57,62.5,1
6.003,5.54,62.5,1
6.034,5.56,62.2,1
6.068,5.48,62.3,1
6.099,5.51,61.4,1
6.131,5.51,61.5,1
6.163,5.51,62.1,1
6.196,5.51,61.1,1
6.227,5.54,62.4,1
6.259,5.54,62.5,1
6.307,5.55,61.9,1
6.339,5.55,61.5,1
6.371,5.55,61.5,1
6.404,5.52,62.0,1
6.435,5.52,61.8,1
6.467,5.53,61.8,1
6.499,5.50,61.6,1
6.531,5.49,61.6,1
6.562,5.50,62.0,1
6.595,5.47,61.7,1
6.626,5.47,61.6,1
6.675,5.49,62.1,1
6.707,5.42,61.8,1
6.740,5.39,61.8,1
6.771,5.36,61.6,1
6.803,5.37,62.0,1
6.833,5.38,61.8,1
6.868,5.34,61.9,1
6.899,5.35,62.0,1
6.930,5.36,62.0,1
6.963,5.36,62.2,1
7.012,5.35,61.5,1
7.043,5.38,62.3,1
7.075,5.37,61.2,1
7.107,5.40,61.3,1
7.139,5.40,61.4,1
7.171,5.43,61.8,1
7.204,5.46,61.6,1
7.235,5.47,61.9,1
7.267,5.48,61.7,1
7.299,5.50,61.6,1
7.332,5.52,61.8,1
7.379,5.56,61.4,1
7.412,5.60,61.6,1
7.443,5.61,62.3,1
7.475,5.61,61.8,1
7.507,5.67,61.5,1
