timestamp_s,diameter_mm,confidence,stimulus_active
0.024,7.74,65.8,0
0.056,7.65,65.0,0
0.088,7.69,64.4,0
0.121,7.63,64.5,0
0.153,7.70,65.3,0
0.185,7.68,65.4,0
0.217,7.63,64.6,0
0.248,7.70,63.8,0
0.280,7.71,65.7,0
0.329,7.57,64.8,0
0.362,7.56,65.3,0
0.393,7.54,64.7,0
0.425,7.64,64.4,0
0.457,7.67,65.3,0
0.489,7.68,65.4,0
0.520,7.77,64.8,0
0.553,7.84,64.3,0
0.585,7.87,65.5,0
0.617,7.81,65.1,0
0.666,7.92,66.2,0
0.697,7.81,64.5,0
0.728,7.90,65.1,0
0.760,7.87,65.6,0
0.793,7.82,65.0,0
0.825,7.78,64.4,0
0.856,7.77,64.5,0
0.888,7.89,65.1,0
0.920,7.82,65.2,0
0.953,7.80,65.0,0
0.985,7.74,64.7,0
1.031,7.81,65.1,0
1.065,7.80,64.6,0
1.097,7.77,64.7,0
1.128,7.76,64.5,0
1.161,7.76,64.1,0
1.192,7.77,64.3,0
1.224,7.75,64.8,0
1.256,7.69,64.7,0
1.288,7.77,64.9,0
1.320,7.65,64.8,0
1.367,7.70,64.6,0
1.401,7.68,65.4,0
1.433,7.70,64.8,0
1.464,7.71,65.2,0
1.496,7.65,64.8,0
1.528,7.69,65.1,0
1.560,7.70,64.7,0
1.591,7.66,65.0,0
1.625,7.62,65.5,0
1.656,7.68,65.0,0
1.689,7.59,64.6,0
1.737,7.63,65.2,0
1.767,7.55,64.8,0
1.801,7.52,65.2,0
1.833,7.55,64.8,0
1.865,7.62,65.0,0
1.897,7.53,65.1,0
1.928,7.51,65.0,0
1.961,7.50,64.7,0
1.992,7.44,64.7,0
2.026,7.46,64.7,0
2.073,7.52,65.8,0
2.103,7.51,64.7,0
2.135,7.51,64.8,0
2.167,7.48,65.4,0
2.199,7.50,65.2,0
2.231,7.51,65.6,0
2.263,7.54,65.5,0
2.296,7.49,65.5,0
2.327,7.43,65.4,0
2.359,7.47,65.5,0
2.391,7.42,64.7,0
2.439,7.35,65.1,0
2.471,7.35,65.1,0
2.502,7.36,64.8,0
2.535,7.33,65.3,0
2.567,7.28,65.3,0
2.598,7.29,65.6,0
2.631,7.23,65.9,0
2.662,7.18,65.0,0
2.695,7.13,65.0,0
2.727,7.12,65.6,0
2.758,7.10,64.7,0
2.807,7.12,64.4,0
2.839,7.02,65.2,0
2.870,7.01,64.2,0
2.903,6.99,64.5,0
2.935,7.09,65.2,0
2.967,6.94,65.1,0
2.999,6.89,65.0,0
3.031,6.90,64.8,0
3.063,6.83,64.9,0
3.143,6.82,65.1,0
3.335,6.81,64.8,0
3.431,6.91,65.4,0
3.463,6.94,65.2,0
3.512,6.96,65.5,0
3.543,7.03,65.0,0
3.575,7.05,64.3,0
3.608,7.04,65.4,0
3.638,7.06,64.4,0
3.672,7.05,65.1,0
3.705,7.07,64.8,0
3.737,7.12,65.8,0
3.769,7.13,64.1,0
3.801,7.23,65.1,0
3.848,7.21,65.3,0
3.881,7.22,65.1,0
3.913,7.29,65.2,0
3.944,7.26,64.3,0
3.977,7.31,64.3,0
4.008,7.36,64.9,0
4.041,7.39,64.5,0
4.072,7.39,64.5,0
4.105,7.37,64.7,0
4.136,7.37,65.7,0
4.169,7.38,64.9,0
4.216,7.35,65.2,0
4.249,7.42,65.1,0
4.281,7.42,64.7,0
4.312,7.53,64.4,0
4.345,7.53,64.9,0
4.377,7.55,64.9,0
4.409,7.54,64.2,0
4.440,7.59,65.0,0
4.472,7.63,64.6,0
4.505,7.56,65.1,0
4.553,7.62,64.5,0
4.585,7.66,64.9,0
4.617,7.64,64.6,0
4.649,7.55,64.9,0
4.681,7.64,64.4,0
4.713,7.57,64.6,0
4.744,7.56,64.9,0
4.776,7.56,64.7,0
4.809,7.60,65.1,0
4.840,7.54,64.5,0
4.872,7.54,64.3,0
4.921,7.59,64.7,0
4.953,7.55,64.7,0
4.984,7.53,64.4,0
5.017,7.54,64.2,0
5.020,7.53,64.3,1
5.052,7.57,64.9,1
5.085,7.53,64.8,1
5.117,7.51,64.6,1
5.150,7.59,64.4,1
5.181,7.55,64.9,1
5.229,7.54,64.8,1
5.261,7.55,64.8,1
5.293,7.53,65.1,1
5.325,7.62,64.6,1
5.356,7.57,64.7,1
5.389,7.48,65.3,1
5.421,7.35,64.7,1
5.454,7.21,64.9,1
5.486,6.97,64.5,1
5.517,6.85,65.4,1
9.059,6.86,65.3,0
9.108,6.84,64.9,0
9.139,6.88,64.7,0
9.171,6.94,64.6,0
9.203,6.94,64.1,0
9.235,7.00,64.9,0
9.266,7.07,65.0,0
9.299,7.11,64.8,0
9.331,7.11,65.0,0
9.363,7.11,64.5,0
9.395,7.16,64.8,0
9.427,7.22,64.3,0
9.475,7.20,64.6,0
9.507,7.17,64.7,0
9.539,7.26,65.1,0
9.571,7.24,64.1,0
9.603,7.21,64.7,0
9.635,7.22,64.4,0
9.668,7.24,64.7,0
9.699,7.17,64.5,0
9.731,7.24,64.8,0
9.762,7.19,64.6,0
9.810,7.29,64.6,0
9.843,7.24,64.8,0
9.875,7.36,64.1,0
9.907,7.32,64.7,0
9.938,7.26,64.8,0
9.969,7.26,64.5,0
10.002,7.32,64.5,0
10.034,7.30,64.8,0
10.065,7.33,64.9,0
10.098,7.27,64.3,0
10.130,7.28,64.3,0
10.177,7.26,64.6,0
10.209,7.25,63.9,0
10.242,7.25,65.0,0
10.273,7.31,64.2,0
10.305,7.34,64.3,0
10.338,7.32,64.4,0
10.371,7.36,64.8,0
10.403,7.35,64.7,0
10.435,7.38,64.7,0
10.467,7.36,64.0,0
10.499,7.31,65.1,0
10.547,7.32,65.0,0
10.579,7.35,64.5,0
10.612,7.34,64.8,0
10.643,7.30,64.7,0
10.675,7.38,64.9,0
10.707,7.42,64.3,0
10.739,7.40,63.7,0
10.771,7.42,64.6,0
10.804,7.36,64.9,0
10.835,7.46,64.6,0
10.883,7.42,64.6,0
10.914,7.44,64.7,0
10.947,7.35,64.6,0
10.978,7.46,64.8,0
11.011,7.46,64.7,0
11.043,7.50,64.4,0
11.075,7.48,64.1,0
11.108,7.45,64.7,0
11.139,7.50,65.1,0
11.171,7.54,64.5,0
11.203,7.47,64.7,0
11.251,7.45,64.3,0
11.283,7.47,64.9,0
11.316,7.47,64.1,0
11.346,7.53,64.9,0
11.379,7.48,64.6,0
11.411,7.48,64.8,0
11.443,7.49,65.0,0
11.475,7.56,64.9,0
11.507,7.50,65.3,0
11.540,7.49,64.8,0
11.588,7.51,65.2,0
11.620,7.54,64.7,0
11.651,7.51,64.9,0
11.683,7.58,64.9,0
11.715,7.59,64.8,0
11.747,7.56,64.9,0
11.779,7.57,65.1,0
11.810,7.58,64.7,0
11.842,7.60,64.5,0
11.875,7.60,64.5,0
11.906,7.58,65.2,0
11.956,7.59,65.0,0
11.987,7.59,65.0,0
12.019,7.62,64.9,0
12.051,7.60,64.8,0
12.083,7.63,65.2,0
12.115,7.68,65.2,0
12.147,7.68,64.3,0
12.179,7.68,65.2,0
12.211,7.65,64.9,0
12.243,7.62,64.6,0
12.291,7.60,64.6,0
12.324,7.63,65.0,0
12.355,7.62,64.6,0
12.388,7.60,64.5,0
12.419,7.66,63.9,0
12.451,7.68,64.4,0
12.483,7.68,64.9,0
12.515,7.70,64.6,0
12.548,7.73,64.6,0
12.579,7.75,64.3,0
12.611,7.72,64.1,0
12.658,7.73,65.2,0
12.691,7.74,65.1,0
12.723,7.77,64.6,0
12.755,7.77,64.9,0
12.787,7.69,64.8,0
12.820,7.68,64.3,0
12.851,7.70,64.5,0
12.883,7.68,64.4,0
12.915,7.69,64.6,0
12.947,7.63,64.2,0
12.995,7.57,64.8,0
13.027,7.55,64.6,0
13.059,7.54,64.7,0
13.091,7.50,64.6,0
13.123,7.51,64.2,0
13.156,7.49,64.6,0
13.187,7.46,64.4,0
13.220,7.44,64.8,0
13.252,7.38,64.6,0
13.283,7.39,64.9,0
13.315,7.40,64.4,0
13.363,7.37,64.0,0
13.396,7.42,64.9,0
13.427,7.40,64.2,0
13.460,7.37,64.7,0
13.491,7.43,65.1,0
13.523,7.41,65.1,0
13.555,7.46,64.7,0
13.587,7.47,64.8,0
13.619,7.47,64.2,0
13.651,7.42,64.9,0
13.699,7.47,64.9,0
13.731,7.44,64.6,0
13.763,7.43,65.0,0
13.795,7.46,64.7,0
13.827,7.44,65.0,0
13.859,7.41,64.4,0
13.891,7.45,64.9,0
13.923,7.43,64.8,0
13.954,7.43,64.2,0
13.987,7.39,64.8,0
14.019,7.44,64.8,0
14.066,7.45,65.1,0
14.100,7.46,65.2,0
14.130,7.44,65.0,0
14.162,7.51,64.6,0
14.195,7.45,64.9,0
14.227,7.47,64.8,0
14.258,7.49,64.7,0
14.291,7.53,64.5,0
14.323,7.57,64.6,0
