timestamp_s,diameter_mm,confidence,stimulus_active
0.026,7.68,71.4,0
0.075,7.67,71.5,0
0.108,7.63,71.8,0
0.139,7.60,71.5,0
0.170,7.60,71.7,0
0.202,7.57,71.8,0
0.234,7.62,71.5,0
0.266,7.58,71.4,0
0.298,7.56,72.0,0
0.330,7.59,71.2,0
0.362,7.56,71.5,0
0.394,7.60,71.3,0
0.442,7.63,70.9,0
0.475,7.62,71.1,0
0.506,7.68,71.5,0
0.538,7.67,71.0,0
0.570,7.73,70.7,0
0.602,7.69,71.4,0
0.634,7.69,71.4,0
0.666,7.73,70.6,0
0.698,7.83,70.4,0
0.730,7.92,70.3,0
0.762,7.98,69.8,0
0.906,7.48,60.5,0
0.938,8.92,65.7,0
0.970,8.88,66.0,0
1.002,8.62,66.5,0
1.033,8.43,67.8,0
1.066,8.28,69.4,0
1.098,8.25,69.1,0
1.147,8.23,69.4,0
1.178,8.23,69.8,0
1.211,8.31,69.7,0
1.243,8.26,69.7,0
1.274,8.29,69.5,0
1.306,8.28,69.7,0
1.338,8.34,70.1,0
1.370,8.33,70.7,0
1.402,8.30,70.5,0
1.434,8.34,70.6,0
1.466,8.28,70.8,0
1.515,8.19,69.8,0
1.546,8.17,70.8,0
1.579,8.15,69.9,0
1.610,8.10,70.6,0
1.642,8.06,70.9,0
1.674,8.03,70.6,0
1.706,7.98,71.0,0
1.738,8.03,71.2,0
1.769,7.95,70.8,0
1.801,7.88,71.1,0
1.851,7.92,70.6,0
1.883,7.84,70.7,0
1.914,7.74,70.4,0
1.947,7.77,70.7,0
1.978,7.76,71.1,0
2.010,7.77,70.4,0
2.042,7.78,71.4,0
2.074,7.74,71.2,0
2.107,7.72,70.6,0
2.139,7.72,70.9,0
2.171,7.73,70.7,0
2.218,7.71,70.4,0
2.249,7.70,70.6,0
2.282,7.76,70.7,0
2.314,7.73,70.9,0
2.347,7.72,70.4,0
2.378,7.75,71.0,0
2.410,7.76,71.1,0
2.442,7.76,70.4,0
2.474,7.76,71.0,0
2.506,7.73,71.2,0
2.555,7.71,70.6,0
2.586,7.72,70.4,0
2.618,7.70,70.7,0
2.650,7.71,70.6,0
2.682,7.75,71.1,0
2.714,7.71,70.1,0
2.746,7.75,70.6,0
2.778,7.72,70.8,0
2.810,7.71,70.8,0
2.842,7.75,71.3,0
2.874,7.71,70.8,0
2.921,7.73,70.5,0
2.954,7.75,70.1,0
2.986,7.78,70.5,0
3.018,7.73,70.7,0
3.051,7.75,70.7,0
3.083,7.69,71.0,0
3.113,7.69,70.5,0
3.147,7.67,70.7,0
3.178,7.65,71.1,0
3.210,7.63,71.0,0
3.257,7.58,70.9,0
3.290,7.64,70.4,0
3.322,7.57,71.0,0
3.354,7.59,70.6,0
3.386,7.60,71.2,0
3.418,7.55,70.0,0
3.450,7.57,70.8,0
3.482,7.56,71.2,0
3.514,7.58,70.9,0
3.547,7.53,71.0,0
3.579,7.60,70.9,0
3.626,7.53,70.6,0
3.658,7.57,70.9,0
3.690,7.55,70.0,0
3.723,7.58,70.6,0
3.754,7.58,70.9,0
3.784,7.54,70.4,0
3.817,7.56,70.5,0
3.850,7.53,70.4,0
3.882,7.54,70.2,0
3.914,7.46,70.8,0
3.962,7.46,70.4,0
3.994,7.41,70.3,0
4.026,7.49,71.4,0
4.056,7.51,70.9,0
4.089,7.48,70.6,0
4.121,7.49,70.8,0
4.152,7.50,71.1,0
4.185,7.49,71.1,0
4.217,7.49,71.2,0
4.249,7.52,71.1,0
4.280,7.52,71.2,0
4.333,7.53,71.4,0
4.361,7.55,71.5,0
4.393,7.56,71.4,0
4.425,7.59,71.3,0
4.458,7.59,71.0,0
4.490,7.58,70.9,0
4.522,7.61,71.6,0
4.553,7.64,71.4,0
