timestamp,frame,center_x,center_y,diameter_px,diameter_mm,confidence,fps
2025-11-25 11:26:30.989,254,286,241,22.80,3.88,56.665,40.9
2025-11-25 11:26:31.021,255,286,240,22.82,3.88,56.822,41.3
2025-11-25 11:26:31.051,256,285,241,22.86,3.89,56.091,38.2
2025-11-25 11:26:31.085,257,284,241,22.78,3.87,56.733,42.3
2025-11-25 11:26:31.117,258,285,240,22.90,3.90,56.704,33.2
2025-11-25 11:26:31.149,259,285,241,23.04,3.92,56.804,39.2
2025-11-25 11:26:31.182,260,285,242,23.05,3.92,56.217,38.8
2025-11-25 11:26:31.213,261,285,243,23.18,3.94,57.208,38.5
2025-11-25 11:26:31.245,262,285,243,23.10,3.93,56.387,39.3
