timestamp,frame,diameter_px,diameter_mm,center_x,center_y,score
2025-11-24T10:55:04.422747,1006,35.88,1.794,368,219,0.857
2025-11-24T10:55:04.489397,1007,35.98,1.799,368,216,0.862
2025-11-24T10:55:04.521779,1008,36.23,1.811,367,215,0.871
2025-11-24T10:55:04.550463,1009,36.95,1.847,364,215,0.832
2025-11-24T10:55:04.600329,1010,37.03,1.851,361,218,0.819
2025-11-24T10:55:04.627740,1011,37.03,1.851,361,218,0.819
2025-11-24T10:55:04.650668,1012,36.71,1.835,360,220,0.856
2025-11-24T10:55:04.675318,1013,36.88,1.844,361,219,0.840
2025-11-24T10:55:04.692054,1014,37.44,1.872,365,219,0.878
2025-11-24T10:55:04.725868,1015,37.64,1.882,367,220,0.891
2025-11-24T10:55:04.758461,1016,37.59,1.880,369,223,0.858
2025-11-24T10:55:04.790318,1017,38.10,1.905,373,223,0.848
2025-11-24T10:55:04.822462,1018,37.39,1.869,377,221,0.870
2025-11-24T10:55:04.885173,1019,37.64,1.882,376,220,0.818
2025-11-24T10:55:04.930436,1020,37.75,1.888,375,219,0.834
2025-11-24T10:55:04.963823,1021,37.51,1.875,377,217,0.880
2025-11-24T10:55:04.986144,1022,37.51,1.875,377,217,0.880
2025-11-24T10:55:05.008017,1023,38.13,1.906,376,218,0.823
2025-11-24T10:55:05.030399,1024,37.64,1.882,374,220,0.854
2025-11-24T10:55:05.060144,1025,37.69,1.885,373,221,0.869
2025-11-24T10:55:05.094506,1026,37.93,1.896,372,223,0.823
2025-11-24T10:55:05.124890,1027,38.24,1.912,371,227,0.836
2025-11-24T10:55:05.158358,1028,38.30,1.915,368,230,0.830
2025-11-24T10:55:05.190667,1029,38.27,1.913,366,232,0.855
2025-11-24T10:55:05.219082,1030,37.98,1.899,365,233,0.823
2025-11-24T10:55:05.307345,1031,37.95,1.898,366,230,0.854
2025-11-24T10:55:05.327299,1032,37.95,1.898,366,230,0.854
2025-11-24T10:55:05.352501,1033,37.82,1.891,365,228,0.848
2025-11-24T10:55:05.373990,1034,37.89,1.895,365,228,0.857
2025-11-24T10:55:05.398511,1035,38.06,1.903,366,228,0.864
2025-11-24T10:55:05.427934,1036,37.69,1.885,367,228,0.846
2025-11-24T10:55:05.462580,1037,37.74,1.887,368,227,0.845
2025-11-24T10:55:05.494491,1038,37.97,1.898,369,225,0.827
2025-11-24T10:55:05.526358,1039,37.38,1.869,369,222,0.844
2025-11-24T10:55:05.558495,1040,37.41,1.871,368,222,0.840
2025-11-24T10:55:05.590305,1041,37.60,1.880,367,223,0.859
2025-11-24T10:55:05.618213,1042,37.66,1.883,367,224,0.841
2025-11-24T10:55:05.667113,1043,37.62,1.881,369,225,0.854
2025-11-24T10:55:05.699146,1044,37.76,1.888,372,225,0.832
2025-11-24T10:55:05.730870,1045,37.98,1.899,375,225,0.849
2025-11-24T10:55:05.764148,1046,37.46,1.873,377,225,0.829
2025-11-24T10:55:05.798573,1047,37.92,1.896,376,226,0.823
2025-11-24T10:55:05.829045,1048,38.02,1.901,372,228,0.832
2025-11-24T10:55:05.860538,1049,38.42,1.921,367,230,0.805
2025-11-24T10:55:05.889990,1050,38.01,1.900,365,231,0.837
2025-11-24T10:55:05.927352,1051,37.78,1.889,365,230,0.835
2025-11-24T10:55:05.959043,1052,37.63,1.882,366,228,0.789
2025-11-24T10:55:06.006684,1053,37.51,1.875,369,225,0.838
2025-11-24T10:55:06.036750,1054,37.07,1.854,371,222,0.882
2025-11-24T10:55:06.068207,1055,36.40,1.820,374,220,0.851
2025-11-24T10:55:06.101043,1056,35.95,1.798,376,219,0.837
2025-11-24T10:55:06.135081,1057,35.62,1.781,376,218,0.833
2025-11-24T10:55:06.166653,1058,35.04,1.752,376,218,0.837
2025-11-24T10:55:06.198820,1059,34.75,1.738,375,220,0.839
2025-11-24T10:55:06.228286,1060,34.51,1.725,374,221,0.845
2025-11-24T10:55:06.260409,1061,34.73,1.736,373,224,0.849
2025-11-24T10:55:06.290294,1062,34.30,1.715,373,225,0.833
2025-11-24T10:55:06.326444,1063,34.32,1.716,375,226,0.855
2025-11-24T10:55:06.375222,1064,34.32,1.716,376,228,0.828
2025-11-24T10:55:06.406499,1065,34.50,1.725,376,229,0.847
2025-11-24T10:55:06.436365,1066,34.85,1.742,377,229,0.856
2025-11-24T10:55:06.470948,1067,34.70,1.735,377,229,0.851
2025-11-24T10:55:06.503044,1068,34.96,1.748,379,228,0.824
2025-11-24T10:55:06.534655,1069,34.73,1.736,379,228,0.861
2025-11-24T10:55:06.566997,1070,35.13,1.756,380,227,0.841
2025-11-24T10:55:06.598553,1071,35.09,1.754,380,227,0.821
2025-11-24T10:55:06.627918,1072,35.46,1.773,380,227,0.838
2025-11-24T10:55:06.663422,1073,35.21,1.761,380,226,0.843
2025-11-24T10:55:06.706858,1074,35.44,1.772,380,225,0.834
2025-11-24T10:55:06.739411,1075,35.50,1.775,381,225,0.835
2025-11-24T10:55:06.774953,1076,35.64,1.782,380,225,0.847
2025-11-24T10:55:06.804376,1077,35.56,1.778,380,225,0.826
2025-11-24T10:55:06.836711,1078,35.87,1.794,379,225,0.819
2025-11-24T10:55:06.867964,1079,35.71,1.785,378,225,0.845
2025-11-24T10:55:06.900744,1080,35.89,1.795,377,225,0.854
2025-11-24T10:55:06.935458,1081,35.78,1.789,378,226,0.868
2025-11-24T10:55:06.966769,1082,35.95,1.797,378,226,0.850
2025-11-24T10:55:06.997186,1083,36.10,1.805,379,225,0.832
2025-11-24T10:55:07.030114,1084,36.26,1.813,381,226,0.872
2025-11-24T10:55:07.077512,1085,36.56,1.828,382,228,0.870
2025-11-24T10:55:07.108416,1086,36.78,1.839,382,229,0.848
2025-11-24T10:55:07.140086,1087,36.50,1.825,383,230,0.846
2025-11-24T10:55:07.174329,1088,36.73,1.836,383,230,0.852
2025-11-24T10:55:07.204502,1089,37.26,1.863,382,230,0.858
2025-11-24T10:55:07.238821,1090,37.23,1.862,381,231,0.841
2025-11-24T10:55:07.270476,1091,37.27,1.864,380,232,0.855
2025-11-24T10:55:07.301031,1092,37.83,1.892,379,232,0.845
2025-11-24T10:55:07.334753,1093,37.67,1.883,380,233,0.857
2025-11-24T10:55:07.364151,1094,37.90,1.895,381,232,0.860
2025-11-24T10:55:07.414767,1095,37.94,1.897,381,232,0.854
2025-11-24T10:55:07.445203,1096,38.05,1.902,381,231,0.852
