timestamp_s,diameter_mm,quality_score
0.029,1.504,100
0.080,1.282,100
0.111,1.252,100
0.161,1.132,100
0.192,1.365,100
0.240,1.296,100
0.271,1.412,100
0.319,1.299,100
0.351,1.369,100
0.400,1.487,100
0.430,1.324,100
0.480,1.235,100
0.509,1.343,100
0.560,1.315,100
0.591,1.298,100
0.641,1.171,100
0.672,1.296,100
0.720,1.378,100
0.751,1.274,100
0.800,1.360,100
0.830,1.331,100
0.878,1.221,100
0.911,1.321,100
0.960,1.294,100
0.991,1.389,100
1.038,1.415,100
1.072,1.332,100
1.120,1.501,100
1.151,1.464,100
1.200,1.342,100
1.230,1.399,100
1.280,1.365,100
1.312,1.395,100
1.360,1.360,100
1.391,1.412,100
1.440,1.324,100
1.473,1.441,100
1.521,1.351,100
1.552,1.375,100
1.600,1.347,100
1.631,1.301,100
1.680,1.346,100
1.711,1.314,100
1.760,1.324,100
1.791,1.202,100
1.840,1.300,100
1.871,1.285,100
1.920,1.337,100
1.952,1.298,100
2.000,1.336,100
2.030,1.286,100
2.078,1.383,100
2.110,1.384,100
2.160,1.416,100
2.191,1.345,100
2.239,1.350,100
2.271,1.365,100
2.319,1.373,100
2.351,1.363,100
2.400,1.259,100
2.431,1.215,100
2.480,1.458,100
2.512,1.107,100
2.560,1.093,100
2.592,1.008,100
2.640,1.031,100
2.672,1.000,100
2.720,1.031,100
2.751,0.946,100
2.802,0.881,100
2.831,0.806,100
2.880,0.812,100
2.912,1.172,100
2.960,0.820,100
2.991,0.806,100
3.037,0.727,100
3.069,0.814,100
3.121,0.832,100
3.152,0.863,100
3.201,0.834,100
3.232,0.778,100
3.280,0.725,100
3.312,0.687,100
3.359,0.597,100
3.391,0.873,100
3.440,0.764,100
3.472,0.832,100
3.520,0.630,100
3.552,0.695,100
3.600,0.743,100
3.631,0.828,100
3.681,0.832,100
3.711,0.891,100
3.760,0.973,100
3.792,0.755,100
3.840,0.902,100
3.872,1.153,100
3.920,0.996,100
3.952,0.978,100
4.000,0.985,100
4.031,1.023,100
4.080,1.059,100
4.111,1.032,100
4.160,0.959,100
4.192,1.094,100
4.240,0.934,100
4.272,1.140,100
4.320,1.092,100
4.351,1.192,100
4.400,1.175,100
4.431,1.154,100
4.480,1.195,100
4.512,1.145,100
4.560,1.196,100
4.590,1.140,100
4.640,1.254,100
4.672,1.128,100
4.720,1.036,100
4.752,1.282,100
4.800,1.204,100
4.831,1.172,100
4.879,1.172,100
4.911,1.279,100
4.959,1.169,100
4.992,1.341,100
5.040,1.268,100
5.071,1.254,100
5.120,1.266,100
5.152,1.315,100
5.200,1.209,100
5.231,1.218,100
5.280,1.271,100
5.311,1.300,100
5.360,1.237,100
5.390,1.409,100
5.441,1.298,100
5.472,1.286,100
5.520,1.298,100
5.551,1.226,100
5.600,1.303,100
5.632,1.408,100
5.680,1.320,100
5.711,1.265,100
5.760,1.243,100
5.791,1.265,100
5.840,1.369,100
5.871,1.270,100
5.920,1.346,100
5.952,1.243,100
5.999,1.317,100
6.030,1.540,100
6.080,1.307,100
6.112,1.239,100
6.159,1.197,100
6.192,1.332,100
6.239,1.202,100
6.272,1.390,100
6.320,1.225,100
6.352,1.349,100
6.400,1.266,100
6.431,1.349,100
6.480,1.299,100
6.511,1.180,100
6.560,1.457,100
6.590,1.359,100
6.640,1.304,100
6.672,1.324,100
6.720,1.302,100
6.751,1.254,100
6.800,1.365,100
6.831,1.278,100
6.880,1.362,100
6.911,1.285,100
6.960,1.368,100
6.991,1.278,100
7.040,1.373,100
7.071,1.376,100
7.121,1.487,100
7.152,1.212,100
7.200,1.378,100
7.231,1.421,100
7.280,1.300,100
7.312,1.407,100
7.360,1.409,100
7.391,1.362,100
7.439,1.373,100
7.472,1.360,100
7.519,1.329,100
7.551,1.441,100
7.600,1.269,100
7.631,1.241,100
7.679,1.300,100
7.711,1.344,100
7.760,1.236,100
7.791,1.287,100
7.841,1.335,100
7.872,1.317,100
7.919,1.334,100
7.952,1.348,100
8.001,1.338,100
8.031,1.279,100
