timestamp_s,frame_number,diameter_px,diameter_mm,center_x,center_y,area,circularity,quality_score
0.026,0,28.49,1.424,100.4,111.7,635,0.879,87.9
0.057,1,28.76,1.438,100.5,111.4,642,0.874,87.4
0.091,2,28.70,1.435,100.3,111.8,643,0.891,89.1
0.120,3,28.11,1.406,99.8,112.5,618,0.883,88.3
0.189,4,28.55,1.428,98.4,113.2,636,0.877,87.7
0.236,5,28.28,1.414,97.5,113.0,620,0.901,90.1
0.249,6,28.28,1.414,97.5,113.0,620,0.901,90.1
0.266,7,28.00,1.400,97.0,112.3,610,0.881,88.1
0.301,8,28.48,1.424,97.6,111.5,633,0.899,89.9
0.336,9,28.17,1.408,98.0,110.8,618,0.881,88.1
0.365,10,28.40,1.420,97.8,110.8,622,0.887,88.7
0.395,11,28.10,1.405,97.5,110.1,616,0.875,87.5
0.428,12,27.71,1.386,97.0,110.0,598,0.902,90.2
0.461,13,27.71,1.385,96.8,110.1,599,0.904,90.4
0.492,14,27.77,1.388,96.7,110.3,600,0.867,86.7
0.525,15,27.69,1.384,96.3,110.1,596,0.873,87.3
0.601,16,27.91,1.395,95.7,110.6,610,0.881,88.1
0.612,17,27.91,1.395,95.7,110.6,610,0.881,88.1
0.632,18,27.93,1.397,95.7,110.2,605,0.874,87.4
0.667,19,27.52,1.376,95.6,110.0,592,0.867,86.7
0.696,20,27.85,1.392,96.0,109.6,604,0.873,87.3
0.729,21,27.74,1.387,96.2,109.4,596,0.873,87.3
0.763,22,28.21,1.410,95.6,110.0,620,0.884,88.4
0.794,23,28.21,1.410,96.0,109.8,622,0.871,87.1
0.824,24,28.35,1.417,96.5,109.7,626,0.889,88.9
0.856,25,28.84,1.442,96.4,109.9,645,0.872,87.2
0.890,26,28.89,1.445,96.0,110.2,652,0.861,86.1
0.939,27,28.92,1.446,95.7,110.2,650,0.885,88.5
0.969,28,28.96,1.448,95.8,111.2,654,0.865,86.5
1.003,29,29.84,1.492,95.8,111.3,687,0.882,88.2
1.031,0,29.54,1.477,96.3,111.0,678,0.874,87.4
1.065,1,29.55,1.478,100.0,112.7,667,0.880,88.0
1.098,2,29.04,1.452,104.1,115.4,649,0.877,87.7
1.129,3,28.92,1.446,104.4,115.8,648,0.887,88.7
1.164,4,29.47,1.473,100.7,112.0,656,0.890,89.0
1.195,5,32.01,1.601,97.3,109.6,800,0.876,87.6
1.227,6,31.73,1.587,97.8,110.3,781,0.864,86.4
