timestamp_s,diameter_mm,quality_score
0.008,1.427,100
0.050,1.418,100
0.082,1.411,100
0.131,1.394,100
0.163,1.425,100
0.211,1.384,100
0.244,1.459,100
0.292,1.432,100
0.324,1.374,100
0.372,1.347,100
0.403,1.302,100
0.451,1.196,100
0.483,1.215,100
0.530,1.304,100
0.562,1.304,100
0.612,1.313,100
0.643,1.343,100
0.690,1.295,100
0.722,1.366,100
0.770,1.312,100
0.803,1.304,100
0.850,1.329,100
0.883,1.358,100
0.931,1.334,100
0.962,1.338,100
1.010,1.192,100
1.043,1.290,100
1.092,1.346,100
1.123,1.380,100
1.171,1.356,100
1.203,1.373,100
1.251,1.366,100
1.283,1.383,100
1.332,1.434,100
1.363,1.405,100
1.411,1.430,100
1.443,1.366,100
1.492,1.379,100
1.523,1.389,100
1.571,1.373,100
1.604,1.376,100
1.652,1.315,100
1.683,1.322,100
1.731,1.363,100
1.763,1.315,100
1.811,1.305,100
1.843,1.313,100
1.891,1.323,100
1.924,1.166,100
1.972,1.118,100
2.015,1.302,100
2.049,1.301,100
2.083,1.324,100
2.131,1.276,100
2.162,1.193,100
2.212,1.237,100
2.243,1.199,100
2.291,1.211,100
2.324,1.246,100
2.371,1.256,100
2.404,1.217,100
2.452,1.176,100
2.483,1.065,100
2.532,1.106,100
2.563,1.061,100
2.612,1.001,100
2.644,0.975,100
2.691,0.979,100
2.723,0.966,100
2.771,0.975,100
2.803,0.955,100
2.851,0.943,100
2.883,0.825,100
2.932,0.903,100
2.963,0.975,100
3.016,1.031,100
3.042,1.012,100
3.091,0.976,100
3.123,1.020,100
3.171,1.137,100
3.202,1.080,100
3.252,1.076,100
3.283,1.093,100
3.331,1.139,100
3.363,1.143,100
3.411,1.118,100
3.444,1.113,100
3.491,1.181,100
3.524,1.202,100
3.571,1.213,100
3.603,1.203,100
3.651,1.281,100
3.683,1.181,100
3.731,1.270,100
3.762,1.295,100
3.811,1.351,100
3.842,1.307,100
3.892,1.348,100
3.924,1.367,100
3.971,1.356,100
4.004,1.381,100
4.051,1.372,100
4.083,1.347,100
4.131,1.397,100
4.163,1.325,100
4.211,1.411,100
4.243,1.326,100
4.291,1.386,100
4.323,1.351,100
4.371,1.348,100
4.404,1.402,100
4.451,1.419,100
4.484,1.481,100
4.531,1.495,100
4.564,1.431,100
4.611,1.370,100
4.643,1.400,100
4.691,1.389,100
4.724,1.412,100
4.772,1.410,100
4.804,1.397,100
4.851,1.457,100
4.883,1.421,100
4.930,1.412,100
4.963,1.446,100
5.011,1.416,100
5.042,1.404,100
5.091,1.478,100
5.123,1.391,100
5.171,1.465,100
5.202,1.446,100
5.251,1.410,100
5.283,1.497,100
5.331,1.436,100
5.363,1.492,100
5.411,1.447,100
5.443,1.433,100
5.491,1.414,100
5.523,1.515,100
5.572,1.502,100
5.603,1.427,100
5.651,1.442,100
5.683,1.427,100
5.731,1.510,100
5.764,1.505,100
5.811,1.502,100
5.843,1.511,100
5.891,1.489,100
5.924,1.527,100
5.971,1.536,100
6.018,1.562,100
6.049,1.540,100
6.098,1.539,100
6.130,1.527,100
6.178,1.540,100
6.210,1.563,100
6.260,1.548,100
6.292,1.502,100
6.339,1.554,100
6.371,1.568,100
6.419,1.559,100
6.451,1.560,100
6.499,1.610,100
6.531,1.548,100
6.579,1.522,100
6.611,1.585,100
6.660,1.593,100
6.692,1.607,100
6.740,1.551,100
6.771,1.578,100
6.819,1.536,100
6.852,1.584,100
6.899,1.565,100
6.931,1.542,100
6.980,1.615,100
7.011,1.564,100
7.059,1.635,100
7.091,1.582,100
7.139,1.531,100
7.171,1.552,100
7.220,1.587,100
7.249,1.561,100
7.300,1.629,100
7.331,1.572,100
7.380,1.551,100
7.411,1.539,100
7.459,1.569,100
7.491,1.596,100
7.539,1.571,100
7.572,1.561,100
7.619,1.591,100
7.651,1.614,100
7.700,1.568,100
7.732,1.594,100
7.780,1.525,100
7.812,1.523,100
7.859,1.609,100
7.891,1.548,100
7.939,1.517,100
7.972,1.482,100
8.020,1.569,100
