timestamp_s,frame_number,diameter_px,diameter_mm,center_x,center_y,area,circularity,quality_score
0.016,23,28.07,9.779,128.3,92.5,593,0.775,77.5
0.050,24,28.05,9.774,127.9,92.5,593,0.715,71.5
0.082,25,27.65,9.633,126.7,92.4,580,0.776,77.6
0.131,26,28.07,9.780,125.8,92.6,586,0.688,68.8
0.164,27,27.08,9.434,125.9,92.7,554,0.673,67.3
0.196,28,26.77,9.326,126.5,92.2,548,0.797,79.7
0.229,29,25.57,8.911,126.8,92.2,496,0.730,73.0
0.259,0,26.82,9.344,126.9,91.8,548,0.817,81.7
0.294,1,26.21,9.133,126.6,92.0,530,0.826,82.6
0.325,2,26.56,9.253,126.1,92.7,534,0.693,69.3
0.355,3,26.88,9.364,125.3,92.1,548,0.761,76.1
0.388,4,27.19,9.474,125.0,92.3,564,0.727,72.7
0.421,5,26.76,9.323,125.8,92.0,556,0.824,82.4
0.470,6,27.49,9.578,124.2,92.2,565,0.697,69.7
0.498,7,26.75,9.322,124.7,91.8,536,0.766,76.6
0.530,8,26.81,9.343,126.0,91.7,546,0.791,79.1
0.563,9,26.76,9.324,126.2,91.6,542,0.807,80.7
0.593,10,26.88,9.365,126.0,91.2,555,0.788,78.8
0.627,11,26.30,9.163,126.1,90.8,534,0.806,80.6
0.658,12,27.56,9.605,126.1,90.7,581,0.772,77.2
0.689,13,27.19,9.475,125.3,90.6,554,0.714,71.4
0.721,14,27.64,9.630,125.1,91.4,590,0.774,77.4
0.756,15,27.77,9.677,125.3,91.0,582,0.743,74.3
0.786,16,27.44,9.560,125.7,91.0,574,0.747,74.7
0.834,17,26.24,9.144,126.2,91.5,530,0.864,86.4
0.845,18,26.24,9.144,126.2,91.5,530,0.864,86.4
0.864,19,27.55,9.600,127.6,91.7,572,0.780,78.0
0.933,20,26.73,9.315,128.6,91.2,552,0.718,71.8
0.962,21,26.75,9.319,128.4,91.1,548,0.827,82.7
0.993,22,27.42,9.553,128.6,91.7,556,0.751,75.1
1.024,23,28.04,9.770,128.3,91.4,606,0.778,77.8
1.060,24,27.92,9.728,128.1,91.4,594,0.749,74.9
1.090,25,28.48,9.922,127.7,91.3,616,0.701,70.1
1.123,26,27.91,9.724,127.7,92.2,578,0.717,71.7
1.156,27,27.70,9.650,127.7,91.0,586,0.779,77.9
1.203,28,26.44,9.212,127.9,91.6,534,0.811,81.1
1.216,29,26.44,9.212,127.9,91.6,534,0.811,81.1
1.233,30,27.91,9.726,128.2,90.0,597,0.737,73.7
1.265,0,27.49,9.580,128.1,90.6,583,0.794,79.4
1.330,1,27.57,9.606,127.8,91.4,572,0.672,67.2
1.361,2,27.36,9.534,127.6,91.2,566,0.775,77.5
1.396,3,26.12,9.102,127.0,91.3,518,0.822,82.2
1.428,4,26.53,9.244,127.5,91.4,532,0.737,73.7
1.457,5,26.16,9.117,127.6,91.3,527,0.789,78.9
1.491,6,26.66,9.288,127.6,91.2,548,0.787,78.7
1.540,7,25.95,9.041,127.5,90.8,503,0.787,78.7
1.555,8,25.95,9.041,127.5,90.8,503,0.787,78.7
1.569,9,26.01,9.062,128.2,90.7,514,0.779,77.9
1.605,10,26.51,9.236,128.3,90.4,530,0.729,72.9
1.635,11,25.37,8.840,127.8,90.4,492,0.840,84.0
1.668,12,25.27,8.804,128.6,89.5,491,0.826,82.6
1.734,13,25.84,9.003,128.5,88.9,508,0.776,77.6
1.764,14,25.19,8.776,128.9,89.3,474,0.780,78.0
1.798,15,26.44,9.212,129.3,89.4,538,0.797,79.7
1.825,16,26.11,9.097,129.2,89.4,513,0.734,73.4
1.860,17,25.93,9.035,128.7,89.9,508,0.767,76.7
1.908,18,26.13,9.103,129.3,89.7,504,0.755,75.5
1.919,19,26.13,9.103,129.3,89.7,504,0.755,75.5
1.937,20,25.88,9.017,128.8,89.9,510,0.787,78.7
1.972,21,26.28,9.158,128.5,90.3,525,0.759,75.9
2.026,22,25.41,8.854,128.1,89.9,496,0.841,84.1
2.040,23,27.43,9.558,128.0,89.9,565,0.688,68.8
2.065,24,27.10,9.444,127.9,89.5,552,0.807,80.7
2.132,25,26.52,9.239,126.7,90.1,535,0.822,82.2
2.165,26,26.91,9.377,127.6,90.1,531,0.775,77.5
2.196,27,26.93,9.382,127.2,90.4,542,0.721,72.1
2.243,28,26.18,9.122,128.1,90.8,513,0.716,71.6
2.276,0,26.76,9.325,127.7,90.6,548,0.778,77.8
2.290,1,26.76,9.325,127.7,90.6,548,0.778,77.8
2.303,2,26.63,9.278,128.1,90.3,547,0.763,76.3
2.338,3,27.16,9.464,128.2,89.4,549,0.671,67.1
