timestamp_s,diameter_mm,quality_score
0.036,0.642,100
0.069,0.934,100
0.117,0.985,100
0.149,0.765,100
0.196,0.857,100
0.229,0.617,100
0.357,0.996,100
0.389,0.658,100
0.437,0.855,100
0.470,0.828,100
0.516,0.809,100
0.549,0.886,100
0.597,0.776,100
0.677,0.696,100
0.710,0.539,100
0.757,0.934,100
0.805,0.922,100
0.836,0.585,100
0.918,0.728,100
0.997,0.905,100
1.046,0.911,100
1.077,0.635,100
1.125,0.875,100
1.157,0.919,100
1.237,0.696,100
1.285,0.856,100
1.317,0.707,100
1.446,0.696,100
1.524,0.971,100
1.557,0.762,100
1.605,0.680,100
1.637,0.825,100
1.685,0.707,100
1.718,0.765,100
1.796,1.079,100
1.845,0.825,100
1.878,0.814,100
1.925,0.955,100
2.013,0.996,100
2.035,0.814,100
2.084,0.765,100
2.117,0.814,100
2.164,0.828,100
2.198,0.763,100
2.245,0.934,100
2.277,0.608,100
2.325,0.873,100
2.357,0.949,100
2.404,0.875,100
2.438,0.791,100
2.486,0.912,100
2.517,0.838,100
2.565,0.886,100
2.597,0.912,100
2.645,0.716,100
2.677,0.922,100
2.725,0.922,100
2.757,0.902,100
2.838,0.716,100
2.917,0.832,100
2.965,1.061,100
2.998,0.908,100
3.043,0.828,100
3.077,1.012,100
3.126,0.873,100
3.156,0.728,100
3.205,0.955,100
3.237,1.011,100
3.285,0.858,100
3.318,0.957,100
3.365,1.217,100
3.397,0.963,100
3.445,0.854,100
3.477,0.838,100
3.526,0.825,100
3.557,0.996,100
3.606,0.901,100
3.637,0.935,100
3.685,0.911,100
3.717,0.996,100
3.765,0.814,100
3.797,0.901,100
3.845,0.667,100
3.877,0.966,100
3.926,0.850,100
3.957,0.934,100
4.005,0.791,100
4.037,0.863,100
4.085,0.949,100
4.118,0.865,100
4.165,0.856,100
4.197,1.012,100
4.245,0.834,100
4.278,0.826,100
4.325,1.012,100
4.357,0.825,100
4.405,0.723,100
4.438,0.898,100
4.484,0.559,100
4.516,0.996,100
4.565,0.987,100
4.597,1.005,100
4.645,0.840,100
4.677,0.781,100
4.725,0.716,100
4.757,0.806,100
4.805,0.962,100
4.838,0.875,100
4.885,0.826,100
4.917,0.972,100
4.966,0.904,100
4.997,0.716,100
5.045,0.912,100
5.077,0.912,100
5.125,0.791,100
5.158,0.949,100
5.205,0.838,100
5.238,1.005,100
5.286,0.791,100
5.317,0.901,100
5.365,1.044,100
5.397,0.778,100
5.446,0.714,100
5.477,0.765,100
5.525,0.728,100
5.556,0.912,100
5.606,0.886,100
5.638,0.633,100
5.686,1.001,100
5.717,0.919,100
5.765,0.912,100
5.797,0.650,100
5.845,0.707,100
5.878,0.934,100
5.926,0.776,100
5.957,0.951,100
6.037,1.000,100
6.085,0.875,100
6.117,1.031,100
6.165,0.753,100
6.197,1.110,100
6.244,0.607,100
6.276,0.865,100
6.325,0.875,100
6.357,0.807,100
6.405,0.874,100
6.437,0.856,100
6.485,0.840,100
6.517,0.718,100
6.565,0.820,100
6.598,0.856,100
6.645,0.886,100
6.677,0.873,100
6.725,1.079,100
6.756,0.874,100
6.805,0.808,100
6.837,0.820,100
6.885,0.855,100
6.917,0.766,100
6.998,0.776,100
7.045,0.858,100
7.077,0.982,100
7.126,1.154,100
7.158,0.901,100
7.205,1.006,100
7.238,0.937,100
7.317,1.160,100
7.366,0.640,100
7.397,0.717,100
7.445,1.074,100
7.477,0.813,100
7.524,0.776,100
7.558,1.044,100
7.606,0.873,100
7.638,0.627,100
7.686,0.838,100
7.717,0.765,100
7.765,0.658,100
7.798,0.854,100
7.844,1.226,100
7.877,0.982,100
7.925,0.696,100
7.956,0.865,100
8.005,0.886,100
