timestamp_s,frame_number,diameter_px,diameter_mm,center_x,center_y,area,circularity,quality_score
0.017,5,27.56,9.603,108.7,95.2,590,0.878,87.8
0.050,6,28.00,9.756,109.4,95.4,590,0.858,85.8
0.081,7,27.86,9.708,110.3,94.9,600,0.855,85.5
0.114,8,28.13,9.800,110.7,94.4,590,0.843,84.3
0.147,9,27.75,9.668,110.2,94.9,571,0.894,89.4
0.178,10,27.14,9.457,109.1,94.7,568,0.884,88.4
0.208,11,27.01,9.412,108.0,94.0,565,0.868,86.8
0.243,12,26.89,9.369,107.8,93.8,556,0.870,87.0
0.275,13,26.60,9.270,107.5,93.8,548,0.852,85.2
0.325,14,26.20,9.128,107.7,93.2,532,0.866,86.6
0.351,15,27.11,9.445,107.6,93.2,566,0.880,88.0
0.383,16,27.34,9.527,107.4,93.3,567,0.911,91.1
0.416,17,26.60,9.267,107.1,93.8,550,0.880,88.0
0.450,18,26.94,9.387,106.7,94.1,561,0.869,86.9
0.484,19,25.58,8.913,106.7,93.9,503,0.846,84.6
0.513,20,25.82,8.997,106.4,93.2,518,0.884,88.4
0.546,21,25.94,9.039,105.8,92.8,521,0.844,84.4
0.577,22,26.55,9.250,106.9,92.0,542,0.829,82.9
0.609,23,25.95,9.044,107.6,91.3,522,0.834,83.4
0.658,24,25.53,8.897,107.3,89.6,511,0.828,82.8
0.689,25,25.56,8.905,104.6,87.6,485,0.855,85.5
0.722,26,25.43,8.860,102.5,85.9,500,0.877,87.7
0.753,27,25.11,8.748,101.5,85.6,477,0.858,85.8
0.785,28,24.48,8.528,103.3,85.9,464,0.887,88.7
0.817,29,25.43,8.861,104.6,85.8,498,0.872,87.2
0.847,0,24.67,8.596,103.5,86.6,472,0.839,83.9
0.880,1,25.53,8.897,102.5,87.0,505,0.850,85.0
0.912,2,25.73,8.965,100.7,87.9,506,0.896,89.6
0.945,3,24.42,8.509,95.5,88.9,460,0.851,85.1
0.978,4,25.74,8.970,94.3,87.7,502,0.872,87.2
1.023,5,25.36,8.837,93.0,86.7,495,0.873,87.3
1.036,6,25.36,8.837,93.0,86.7,495,0.873,87.3
1.057,7,24.48,8.529,92.7,86.9,456,0.843,84.3
1.125,8,24.35,8.483,94.5,88.1,446,0.814,81.4
1.152,9,24.52,8.544,97.0,89.2,464,0.829,82.9
1.183,10,24.84,8.654,98.7,90.3,460,0.804,80.4
1.217,11,24.68,8.598,99.2,90.9,463,0.849,84.9
1.247,12,24.71,8.609,99.5,91.7,466,0.809,80.9
1.281,13,24.94,8.689,100.7,94.1,467,0.801,80.1
1.313,14,24.84,8.656,103.6,95.0,466,0.845,84.5
1.362,15,25.72,8.961,106.6,94.4,506,0.881,88.1
1.393,16,25.79,8.987,107.0,93.0,512,0.855,85.5
1.405,17,25.79,8.987,107.0,93.0,512,0.855,85.5
1.425,18,25.72,8.961,105.6,91.7,494,0.800,80.0
1.460,19,26.02,9.065,103.7,89.5,510,0.830,83.0
1.525,20,24.59,8.568,99.7,88.6,454,0.837,83.7
1.555,21,25.00,8.712,99.8,87.6,476,0.760,76.0
1.587,22,24.66,8.592,98.1,85.7,466,0.816,81.6
1.619,23,24.88,8.670,96.0,85.7,474,0.825,82.5
1.651,24,24.78,8.635,95.5,85.5,469,0.827,82.7
1.686,25,24.94,8.689,96.7,86.0,478,0.860,86.0
1.733,26,25.00,8.711,98.3,86.1,480,0.823,82.3
1.747,27,25.00,8.711,98.3,86.1,480,0.823,82.3
1.761,28,25.63,8.931,99.9,85.3,488,0.863,86.3
1.794,29,25.63,8.932,101.8,84.1,490,0.844,84.4
1.827,30,25.27,8.805,104.1,84.3,491,0.804,80.4
1.859,0,24.74,8.621,105.5,85.2,470,0.834,83.4
1.924,1,25.06,8.732,106.5,85.7,479,0.844,84.4
1.955,2,25.63,8.930,104.6,85.4,487,0.869,86.9
1.985,3,25.28,8.809,103.8,85.9,475,0.831,83.1
2.017,4,24.74,8.619,102.4,86.6,464,0.760,76.0
2.067,5,25.96,9.046,101.1,88.1,496,0.797,79.7
2.099,6,24.75,8.624,100.8,89.3,467,0.817,81.7
2.111,7,24.75,8.624,100.8,89.3,467,0.817,81.7
2.129,8,26.76,9.324,101.3,89.3,550,0.857,85.7
2.165,9,26.95,9.390,101.7,88.6,543,0.866,86.6
2.196,10,25.80,8.990,101.2,88.7,514,0.865,86.5
2.227,11,25.48,8.880,100.8,88.5,497,0.852,85.2
2.262,12,26.02,9.066,100.9,88.1,512,0.838,83.8
2.323,13,26.18,9.122,100.6,88.5,527,0.847,84.7
2.354,14,24.51,8.539,100.2,87.2,458,0.807,80.7
2.387,15,24.83,8.651,99.4,86.9,462,0.836,83.6
2.436,16,23.80,8.293,98.1,86.7,432,0.836,83.6
2.450,17,23.80,8.293,98.1,86.7,432,0.836,83.6
2.465,18,22.02,7.672,96.8,87.4,361,0.753,75.3
2.499,19,20.64,7.190,96.1,88.6,323,0.803,80.3
3.845,29,20.40,7.108,97.7,90.9,305,0.791,79.1
3.906,1,21.50,7.491,97.0,90.6,350,0.865,86.5
3.938,2,20.66,7.197,97.7,91.3,322,0.764,76.4
3.970,3,21.99,7.662,98.4,90.9,363,0.816,81.6
4.001,4,21.90,7.629,98.2,91.0,363,0.861,86.1
4.036,5,22.48,7.833,98.2,91.4,382,0.779,77.9
4.068,6,23.08,8.041,97.9,90.7,400,0.821,82.1
4.099,7,23.38,8.147,98.4,91.2,404,0.832,83.2
4.130,8,23.18,8.075,98.3,90.9,408,0.834,83.4
4.165,9,23.00,8.013,99.3,91.2,396,0.838,83.8
4.213,10,23.12,8.055,99.5,90.3,410,0.856,85.6
4.246,11,22.43,7.816,100.6,90.6,370,0.719,71.9
4.276,12,22.64,7.889,100.7,90.4,398,0.823,82.3
4.309,13,23.26,8.105,99.9,90.4,417,0.852,85.2
4.342,14,23.22,8.092,100.4,90.6,410,0.762,76.2
4.371,15,23.16,8.069,100.7,91.4,402,0.797,79.7
4.402,16,23.77,8.281,100.2,91.0,428,0.853,85.3
4.435,17,23.79,8.290,101.0,90.9,430,0.846,84.6
4.466,18,23.44,8.168,101.0,90.8,416,0.843,84.3
4.501,19,23.19,8.080,101.1,90.7,410,0.779,77.9
4.548,20,24.79,8.638,101.3,90.1,455,0.802,80.2
4.579,21,24.20,8.431,101.8,90.7,428,0.745,74.5
4.611,22,24.26,8.452,101.6,90.1,448,0.829,82.9
4.644,23,24.47,8.526,101.0,90.1,458,0.853,85.3
4.672,24,24.95,8.693,100.9,90.3,470,0.834,83.4
4.704,25,24.63,8.581,101.0,90.6,452,0.823,82.3
4.736,26,24.23,8.443,100.4,90.6,455,0.859,85.9
4.768,27,25.17,8.768,101.1,90.4,472,0.768,76.8
4.800,28,25.95,9.043,101.4,90.1,506,0.855,85.5
4.832,29,25.10,8.746,101.2,90.8,468,0.838,83.8
4.863,30,25.57,8.911,100.7,90.8,482,0.792,79.2
4.911,0,25.93,9.035,101.4,90.2,511,0.815,81.5
4.944,1,25.32,8.821,101.8,90.7,478,0.768,76.8
4.976,2,26.47,9.225,101.4,89.5,522,0.849,84.9
5.008,3,24.29,8.465,101.5,89.9,450,0.849,84.9
5.039,4,24.83,8.652,101.6,89.6,470,0.755,75.5
5.071,5,24.64,8.587,101.9,90.5,454,0.804,80.4
5.103,6,25.62,8.928,101.4,91.1,484,0.814,81.4
5.137,7,26.04,9.073,101.6,90.1,514,0.838,83.8
5.172,8,25.54,8.898,102.5,90.3,482,0.816,81.6
5.202,9,25.82,8.996,101.8,90.0,502,0.762,76.2
5.252,10,26.06,9.080,101.1,89.9,523,0.825,82.5
5.279,11,25.99,9.056,101.5,89.3,522,0.843,84.3
5.311,12,25.83,9.000,101.2,89.2,500,0.822,82.2
5.348,13,24.80,8.642,101.7,90.0,447,0.773,77.3
5.378,14,25.32,8.821,101.7,90.0,492,0.796,79.6
5.411,15,26.49,9.231,101.4,88.9,542,0.833,83.3
5.442,16,25.79,8.987,101.1,89.4,510,0.846,84.6
5.475,17,25.92,9.032,100.7,88.9,508,0.835,83.5
5.508,18,26.30,9.165,101.2,88.9,526,0.835,83.5
5.542,19,26.07,9.084,101.1,88.9,522,0.829,82.9
5.571,20,25.73,8.965,101.7,88.7,507,0.870,87.0
5.618,21,26.52,9.240,101.8,88.2,540,0.852,85.2
5.648,22,25.96,9.044,101.9,88.8,508,0.867,86.7
5.682,23,26.11,9.096,102.2,87.8,514,0.858,85.8
5.716,24,26.02,9.068,101.9,87.7,512,0.845,84.5
5.747,25,24.98,8.702,102.1,87.5,468,0.870,87.0
5.780,26,25.24,8.795,101.9,87.2,493,0.862,86.2
5.811,27,26.25,9.148,102.0,87.6,508,0.860,86.0
5.844,28,25.12,8.754,102.3,88.4,488,0.848,84.8
5.873,29,24.28,8.461,102.9,88.1,451,0.827,82.7
5.907,0,24.82,8.647,102.8,88.1,476,0.876,87.6
5.955,1,25.22,8.786,102.2,88.3,492,0.856,85.6
5.985,2,24.51,8.539,102.2,89.0,460,0.730,73.0
6.021,3,24.60,8.572,102.3,88.5,456,0.788,78.8
6.050,4,25.04,8.725,102.9,88.4,480,0.846,84.6
6.083,5,25.42,8.856,103.2,88.5,485,0.816,81.6
6.114,6,24.95,8.693,103.1,88.5,478,0.816,81.6
6.148,7,25.68,8.947,102.6,88.5,502,0.848,84.8
6.181,8,25.31,8.820,101.6,88.9,493,0.846,84.6
6.207,9,25.54,8.899,101.1,89.3,502,0.841,84.1
6.242,10,25.74,8.968,100.7,89.3,504,0.836,83.6
6.272,11,25.25,8.797,100.6,89.3,494,0.847,84.7
6.319,12,26.21,9.132,101.5,88.1,516,0.829,82.9
6.353,13,25.83,9.000,101.5,88.3,514,0.821,82.1
6.387,14,25.35,8.832,101.0,88.7,483,0.835,83.5
6.422,15,26.04,9.075,101.0,88.5,508,0.855,85.5
6.450,16,26.25,9.146,101.3,88.4,522,0.827,82.7
6.483,17,25.39,8.845,101.6,88.2,488,0.831,83.1
6.517,18,26.66,9.291,101.4,87.6,536,0.855,85.5
6.547,19,21.21,7.392,102.0,92.0,315,0.702,70.2
6.724,24,22.76,7.930,104.6,91.3,380,0.771,77.1
6.755,25,28.43,9.906,102.4,87.6,599,0.824,82.4
6.788,26,28.30,9.859,102.6,87.0,614,0.855,85.5
6.818,27,27.21,9.480,101.9,87.1,574,0.815,81.5
6.849,28,28.05,9.775,102.1,87.5,598,0.838,83.8
6.881,29,26.32,9.169,102.6,87.0,530,0.803,80.3
6.915,0,28.20,9.826,102.1,86.1,590,0.822,82.2
6.948,1,27.04,9.423,101.5,87.1,544,0.830,83.0
6.979,2,26.25,9.146,100.7,86.8,526,0.820,82.0
7.027,3,26.02,9.068,101.0,86.8,526,0.845,84.5
7.040,4,26.02,9.068,101.0,86.8,526,0.845,84.5
7.058,5,26.33,9.174,101.1,87.2,526,0.845,84.5
7.124,6,27.48,9.576,101.4,87.1,560,0.803,80.3
7.154,7,27.06,9.427,101.8,86.5,560,0.864,86.4
7.186,8,27.69,9.649,101.4,87.3,580,0.843,84.3
7.220,9,27.42,9.553,101.1,86.8,568,0.862,86.2
7.251,10,27.15,9.459,101.5,87.7,561,0.862,86.2
7.283,11,26.97,9.397,100.7,86.7,550,0.814,81.4
7.316,12,27.47,9.573,100.8,86.6,565,0.831,83.1
7.347,13,26.97,9.399,101.2,87.2,551,0.825,82.5
7.396,14,26.29,9.161,100.8,87.4,536,0.835,83.5
7.410,15,26.29,9.161,100.8,87.4,536,0.835,83.5
7.424,16,27.06,9.429,100.9,88.0,554,0.878,87.8
7.459,17,26.72,9.311,102.0,88.0,548,0.881,88.1
7.525,18,26.88,9.365,101.9,87.4,549,0.837,83.7
7.555,19,26.59,9.266,101.3,88.0,542,0.865,86.5
7.587,20,26.04,9.073,101.6,87.9,522,0.727,72.7
7.621,21,25.97,9.048,101.5,87.9,514,0.858,85.8
7.651,22,26.39,9.195,101.7,87.8,542,0.843,84.3
7.682,23,26.32,9.170,102.0,88.0,532,0.855,85.5
7.733,24,25.89,9.023,101.8,88.2,504,0.825,82.5
7.763,25,25.84,9.004,101.8,87.9,512,0.835,83.5
7.778,26,25.84,9.004,101.8,87.9,512,0.835,83.5
7.793,27,25.87,9.015,101.3,87.9,508,0.844,84.4
7.826,28,25.27,8.804,100.9,88.6,496,0.831,83.1
7.859,29,25.14,8.759,101.3,88.6,488,0.833,83.3
