timestamp_s,frame_number,diameter_px,diameter_mm,center_x,center_y,area,circularity,quality_score
0.175,2,39.29,13.690,127.4,91.3,1072,0.604,60.4
0.207,3,40.74,14.195,127.3,92.7,1201,0.675,67.5
0.239,4,39.26,13.680,128.4,93.5,1136,0.718,71.8
0.270,5,39.61,13.802,129.5,93.7,1157,0.702,70.2
0.416,8,41.60,14.494,126.2,91.3,1254,0.631,63.1
0.447,9,42.04,14.650,126.4,91.7,1312,0.646,64.6
0.454,10,42.04,14.650,126.4,91.7,1312,0.646,64.6
0.478,11,41.96,14.621,125.6,91.1,1287,0.641,64.1
0.572,14,40.49,14.109,128.2,92.4,1227,0.651,65.1
0.605,15,40.10,13.971,128.1,92.7,1168,0.658,65.8
0.638,16,40.61,14.149,127.6,90.5,1222,0.617,61.7
0.670,17,39.74,13.846,126.2,91.4,1160,0.697,69.7
0.846,22,41.29,14.387,126.9,90.7,1251,0.657,65.7
0.876,23,40.47,14.102,127.6,91.7,1190,0.654,65.4
0.942,25,42.05,14.651,127.6,90.9,1348,0.634,63.4
1.036,28,41.64,14.508,127.2,91.2,1284,0.628,62.8
1.101,30,41.65,14.512,126.7,90.4,1237,0.622,62.2
1.181,1,39.90,13.904,126.9,91.8,1199,0.770,77.0
1.311,5,40.70,14.182,127.5,90.5,1270,0.689,68.9
1.520,11,41.86,14.587,124.6,90.2,1277,0.605,60.5
1.616,14,39.12,13.630,125.1,91.6,1136,0.713,71.3
2.192,1,42.56,14.830,122.8,94.6,1342,0.681,68.1
2.624,14,35.03,12.205,121.8,93.7,917,0.690,69.0
2.655,15,36.83,12.833,122.2,94.1,947,0.697,69.7
2.719,17,31.89,11.112,121.5,94.2,754,0.718,71.8
2.752,18,31.58,11.003,124.6,94.2,759,0.764,76.4
2.815,20,31.31,10.908,123.8,95.0,724,0.697,69.7
2.846,21,29.18,10.166,123.7,94.7,631,0.781,78.1
2.896,22,33.67,11.730,122.8,97.5,820,0.613,61.3
2.928,23,30.62,10.668,122.3,96.6,684,0.706,70.6
2.958,24,32.50,11.323,122.5,96.6,786,0.663,66.3
3.021,26,31.89,11.110,123.2,96.4,761,0.708,70.8
3.053,27,31.71,11.049,123.5,95.2,703,0.703,70.3
3.085,28,31.66,11.030,122.5,94.2,717,0.717,71.7
3.118,29,33.22,11.574,124.2,95.9,778,0.637,63.7
3.263,3,32.26,11.242,122.7,93.7,763,0.692,69.2
3.327,5,31.10,10.837,123.5,93.2,704,0.635,63.5
3.359,6,33.11,11.535,124.1,94.0,760,0.618,61.8
3.487,10,33.22,11.575,123.9,93.7,786,0.614,61.4
3.550,12,32.20,11.218,123.2,94.5,754,0.683,68.3
3.631,14,33.78,11.772,121.6,92.3,814,0.675,67.5
3.727,17,32.17,11.211,120.9,93.5,729,0.646,64.6
3.791,19,34.99,12.191,121.7,93.7,896,0.701,70.1
3.855,21,37.42,13.040,120.8,92.0,966,0.613,61.3
3.887,22,33.61,11.711,121.2,92.0,854,0.750,75.0
3.967,24,37.27,12.986,123.0,91.7,971,0.666,66.6
4.064,27,37.10,12.926,121.8,94.1,1006,0.678,67.8
4.158,0,34.75,12.107,121.0,93.2,902,0.673,67.3
4.190,1,36.36,12.671,122.2,92.6,952,0.689,68.9
4.335,5,34.86,12.145,122.9,93.2,911,0.722,72.2
4.366,6,36.92,12.866,122.7,93.0,988,0.620,62.0
4.431,8,36.07,12.567,122.2,94.2,980,0.681,68.1
4.462,9,37.65,13.117,122.0,94.8,1031,0.616,61.6
4.589,13,38.36,13.368,122.0,94.2,1046,0.636,63.6
