timestamp_s,frame_number,diameter_px,diameter_mm,center_x,center_y,area,circularity,quality_score
0.012,0,25.12,8.754,139.1,96.2,488,0.831,83.1
0.046,1,25.11,8.750,139.1,96.2,486,0.844,84.4
0.079,2,25.20,8.781,138.7,96.6,492,0.873,87.3
0.109,3,25.17,8.769,138.5,96.3,491,0.883,88.3
0.143,4,25.21,8.784,138.0,95.9,492,0.840,84.0
0.176,5,25.46,8.870,137.9,96.5,498,0.850,85.0
0.207,6,25.30,8.817,137.8,97.0,494,0.854,85.4
0.238,7,25.12,8.752,137.6,97.4,490,0.870,87.0
0.272,8,25.16,8.766,137.4,97.5,490,0.847,84.7
0.305,9,25.22,8.788,138.5,96.9,494,0.871,87.1
0.354,10,24.52,8.543,138.8,96.9,466,0.868,86.8
0.384,11,26.63,9.278,130.3,95.6,548,0.870,87.0
0.416,12,27.12,9.449,129.6,95.3,572,0.851,85.1
0.448,13,26.89,9.368,129.8,95.0,561,0.885,88.5
0.479,14,26.99,9.403,129.6,94.7,564,0.851,85.1
0.509,15,26.32,9.171,129.2,94.7,540,0.879,87.9
0.545,16,26.83,9.349,128.9,94.8,560,0.873,87.3
0.574,17,26.95,9.390,128.2,95.0,561,0.878,87.8
0.607,18,26.79,9.334,127.4,94.8,555,0.853,85.3
0.637,19,26.81,9.342,126.8,94.7,556,0.814,81.4
0.688,20,26.91,9.376,126.7,94.3,560,0.873,87.3
0.718,21,27.17,9.466,127.0,94.1,576,0.859,85.9
0.751,22,26.76,9.325,127.7,93.5,558,0.870,87.0
0.784,23,26.97,9.397,128.4,93.3,566,0.843,84.3
0.814,24,26.85,9.356,128.6,93.2,566,0.849,84.9
0.844,25,26.87,9.363,128.4,92.6,560,0.861,86.1
0.878,26,27.28,9.505,128.1,92.5,577,0.871,87.1
0.911,27,26.99,9.404,127.7,92.8,560,0.834,83.4
0.941,28,27.29,9.510,127.7,92.8,582,0.866,86.6
0.972,29,26.75,9.319,127.2,93.6,557,0.856,85.6
