timestamp_s,diameter_mm,quality_score
0.019,22.294,100
0.050,22.294,100
0.102,22.294,100
0.132,22.294,100
0.181,22.294,100
0.212,22.294,100
0.262,22.294,100
0.292,22.294,100
0.341,22.294,100
0.373,22.294,100
0.420,22.294,100
0.453,22.294,100
0.501,22.294,100
0.532,22.294,100
0.581,22.294,100
0.613,22.294,100
0.661,22.294,100
0.692,22.294,100
0.741,22.294,100
0.772,22.294,100
0.818,22.294,100
0.853,22.294,100
0.901,22.294,100
0.933,22.294,100
0.980,22.294,100
1.013,22.294,100
1.062,22.294,100
1.092,22.294,100
1.140,22.294,100
1.172,22.294,100
1.221,22.294,100
1.252,22.294,100
1.301,22.294,100
1.333,22.294,100
1.381,22.294,100
1.412,22.294,100
1.461,22.294,100
1.493,22.294,100
1.541,22.294,100
1.572,22.294,100
1.619,22.294,100
1.653,22.294,100
1.701,22.294,100
1.732,22.294,100
1.781,22.294,100
1.813,22.294,100
1.861,22.294,100
1.892,22.294,100
1.941,22.294,100
1.971,22.294,100
2.020,22.294,100
2.051,22.294,100
2.099,22.294,100
2.133,22.294,100
2.180,22.294,100
2.212,22.294,100
2.260,22.294,100
2.291,22.294,100
2.340,22.294,100
2.372,22.294,100
2.421,22.294,100
2.451,22.294,100
2.500,22.294,100
2.532,22.294,100
2.580,22.294,100
2.611,22.294,100
2.660,22.294,100
2.692,22.294,100
2.740,22.294,100
2.773,22.294,100
2.820,22.294,100
2.853,22.294,100
2.901,22.294,100
2.933,22.294,100
2.980,22.294,100
3.012,22.294,100
3.058,22.294,100
3.091,22.294,100
3.140,22.294,100
3.172,22.294,100
3.220,22.294,100
3.251,22.294,100
3.301,22.294,100
3.332,22.294,100
3.380,22.294,100
3.411,22.294,100
3.460,22.294,100
3.492,22.294,100
3.540,22.294,100
3.572,22.294,100
3.620,22.294,100
3.652,22.294,100
3.700,22.294,100
3.732,22.294,100
3.780,22.294,100
3.812,22.294,100
3.860,22.294,100
3.892,22.294,100
3.940,22.294,100
3.972,22.294,100
4.020,22.294,100
4.052,22.294,100
4.100,22.294,100
4.132,22.294,100
4.180,22.294,100
4.212,22.294,100
4.260,22.294,100
4.292,22.294,100
4.340,22.294,100
4.371,22.294,100
4.421,22.294,100
4.452,22.294,100
4.499,22.294,100
4.531,22.294,100
4.580,22.294,100
4.612,22.294,100
4.661,22.294,100
4.692,22.294,100
4.740,22.294,100
4.771,22.294,100
4.819,22.294,100
4.850,22.294,100
4.899,22.294,100
4.931,22.294,100
4.978,22.294,100
5.011,22.294,100
5.059,22.294,100
5.091,22.294,100
5.139,22.294,100
5.171,22.294,100
5.221,22.294,100
5.253,22.294,100
5.300,22.294,100
5.332,22.294,100
5.380,22.294,100
5.412,22.294,100
5.459,22.294,100
5.493,22.294,100
5.541,22.294,100
5.572,22.294,100
5.620,22.294,100
5.653,22.294,100
5.701,22.294,100
5.733,22.294,100
5.780,22.294,100
5.812,22.294,100
5.860,22.294,100
5.892,22.294,100
5.940,22.294,100
5.972,22.294,100
6.020,22.294,100
6.052,22.294,100
6.100,22.294,100
6.133,22.294,100
6.181,22.294,100
6.212,22.294,100
6.261,22.294,100
6.292,22.294,100
6.341,22.294,100
6.373,22.294,100
6.420,22.294,100
6.452,22.294,100
6.501,22.294,100
6.532,22.294,100
6.580,22.294,100
6.612,22.294,100
6.662,22.294,100
6.692,22.294,100
6.740,22.294,100
6.773,22.294,100
6.821,22.294,100
6.853,22.294,100
6.899,22.294,100
6.932,22.294,100
6.979,22.294,100
7.012,22.294,100
7.061,22.294,100
7.092,22.294,100
7.140,22.294,100
7.172,22.294,100
7.220,22.294,100
7.251,22.294,100
7.300,22.294,100
7.333,22.294,100
7.380,22.294,100
7.412,22.294,100
7.461,22.294,100
7.491,22.294,100
7.540,22.294,100
7.573,22.294,100
7.621,22.294,100
7.653,22.294,100
7.701,22.294,100
7.733,22.294,100
7.780,22.294,100
7.812,22.294,100
7.860,22.294,100
7.892,22.294,100
7.940,22.294,100
7.972,22.294,100
8.021,22.294,100
