timestamp_s,diameter_mm,quality_score
0.015,22.294,100
0.047,22.294,100
0.095,22.294,100
0.127,22.294,100
0.174,22.294,100
0.207,22.294,100
0.255,22.294,100
0.287,22.294,100
0.335,22.294,100
0.367,22.294,100
0.415,22.294,100
0.447,22.294,100
0.495,22.294,100
0.527,22.294,100
0.575,22.294,100
0.607,22.294,100
0.655,22.294,100
0.687,22.294,100
0.735,22.294,100
0.767,22.294,100
0.815,22.294,100
0.847,22.294,100
0.894,22.294,100
0.927,22.294,100
0.975,22.294,100
1.006,22.294,100
1.055,22.294,100
1.087,22.294,100
1.136,22.294,100
1.167,22.294,100
1.215,22.294,100
1.247,22.294,100
1.295,22.294,100
1.327,22.294,100
1.375,22.294,100
1.407,22.294,100
1.455,22.294,100
1.487,22.294,100
1.535,22.294,100
1.567,22.294,100
1.615,22.294,100
1.646,22.294,100
1.695,22.294,100
1.727,22.294,100
1.775,22.294,100
1.807,22.294,100
1.855,22.294,100
1.887,22.294,100
1.935,22.294,100
1.967,22.294,100
2.015,22.294,100
2.047,22.294,100
2.096,22.294,100
2.127,22.294,100
2.175,22.294,100
2.206,22.294,100
2.255,22.294,100
2.287,22.294,100
2.335,22.294,100
2.367,22.294,100
2.414,22.294,100
2.447,22.294,100
2.495,22.294,100
2.526,22.294,100
2.575,22.294,100
2.606,22.294,100
2.654,22.294,100
2.687,22.294,100
2.734,22.294,100
2.767,22.294,100
2.814,22.294,100
2.846,22.294,100
2.895,22.294,100
2.927,22.294,100
2.975,22.294,100
3.007,22.294,100
3.055,22.294,100
3.087,22.294,100
3.135,22.294,100
3.167,22.294,100
3.214,22.294,100
3.247,22.294,100
3.294,22.294,100
3.326,22.294,100
3.375,22.294,100
3.407,22.294,100
3.454,22.294,100
3.486,22.294,100
3.535,22.294,100
3.566,22.294,100
3.615,22.294,100
3.647,22.294,100
3.695,22.294,100
3.726,22.294,100
3.775,22.294,100
3.806,22.294,100
3.855,22.294,100
3.887,22.294,100
3.935,22.294,100
3.967,22.294,100
4.014,22.294,100
4.047,22.294,100
4.095,22.294,100
4.127,22.294,100
4.174,22.294,100
4.206,22.294,100
4.255,22.294,100
4.287,22.294,100
4.334,22.294,100
4.367,22.294,100
4.415,22.294,100
4.447,22.294,100
4.494,22.294,100
4.527,22.294,100
4.574,22.294,100
4.607,22.294,100
4.654,22.294,100
4.687,22.294,100
4.734,22.294,100
4.766,22.294,100
4.814,22.294,100
4.847,22.294,100
4.894,22.294,100
4.926,22.294,100
4.974,22.294,100
5.006,22.294,100
5.055,22.294,100
5.086,22.294,100
5.135,22.294,100
5.167,22.294,100
5.214,22.294,100
5.247,22.294,100
5.295,22.294,100
5.326,22.294,100
5.375,22.294,100
5.407,22.294,100
5.454,22.294,100
5.486,22.294,100
5.534,22.294,100
5.567,22.294,100
5.614,22.294,100
5.647,22.294,100
5.694,22.294,100
5.726,22.294,100
5.774,22.294,100
5.806,22.294,100
5.854,22.294,100
5.886,22.294,100
5.934,22.294,100
5.966,22.294,100
6.015,22.294,100
6.046,22.294,100
6.094,22.294,100
6.126,22.294,100
6.174,22.294,100
6.206,22.294,100
6.254,22.294,100
6.287,22.294,100
6.335,22.294,100
6.366,22.294,100
6.414,22.294,100
6.462,22.294,100
6.494,22.294,100
6.542,22.294,100
6.575,22.294,100
6.623,22.294,100
6.654,22.294,100
6.702,22.294,100
6.734,22.294,100
6.784,22.294,100
6.815,22.294,100
6.862,22.294,100
6.895,22.294,100
6.943,22.294,100
6.974,22.294,100
7.022,22.294,100
7.055,22.294,100
7.102,22.294,100
7.134,22.294,100
7.182,22.294,100
7.214,22.294,100
7.262,22.294,100
7.294,22.294,100
7.342,22.294,100
7.374,22.294,100
7.422,22.294,100
7.454,22.294,100
7.502,22.294,100
7.535,22.294,100
7.582,22.294,100
7.614,22.294,100
7.662,22.294,100
7.694,22.294,100
7.743,22.294,100
7.774,22.294,100
7.822,22.294,100
7.854,22.294,100
7.902,22.294,100
7.934,22.294,100
7.982,22.294,100
8.014,22.294,100
