timestamp_s,frame_number,diameter_px,diameter_mm,center_x,center_y,area,circularity,quality_score
0.004,5,25.39,8.847,117.0,98.2,484,0.849,84.9
0.035,6,24.70,8.606,117.4,98.2,467,0.864,86.4
0.072,7,24.86,8.663,117.8,98.6,476,0.857,85.7
0.099,8,25.35,8.832,118.5,98.7,464,0.847,84.7
0.133,9,25.51,8.887,118.5,98.2,498,0.834,83.4
0.183,10,25.67,8.944,119.0,98.2,496,0.852,85.2
0.214,11,25.87,9.014,119.0,97.7,512,0.856,85.6
0.242,12,26.13,9.105,118.9,97.5,512,0.852,85.2
0.276,13,26.33,9.173,119.0,97.4,530,0.855,85.5
0.309,14,26.17,9.120,118.7,97.8,518,0.835,83.5
0.344,15,26.15,9.112,118.8,97.4,520,0.869,86.9
0.371,16,25.58,8.913,118.3,97.0,502,0.851,85.1
0.406,17,26.00,9.058,117.9,96.8,521,0.884,88.4
0.438,18,25.52,8.892,117.2,97.0,488,0.873,87.3
0.471,19,25.39,8.847,117.1,97.1,490,0.853,85.3
0.503,20,26.43,9.211,117.1,96.7,523,0.854,85.4
0.551,21,25.66,8.941,117.8,96.2,504,0.842,84.2
0.586,22,25.99,9.054,118.2,95.7,514,0.865,86.5
0.614,23,26.41,9.201,118.0,96.2,526,0.852,85.2
0.647,24,26.09,9.091,118.3,96.2,522,0.874,87.4
0.676,25,26.90,9.374,118.3,96.8,547,0.847,84.7
0.707,26,26.34,9.178,118.4,96.3,534,0.854,85.4
0.742,27,26.92,9.381,118.7,96.6,552,0.851,85.1
0.774,28,26.69,9.299,118.3,96.3,544,0.854,85.4
0.804,29,26.67,9.292,118.2,95.9,544,0.839,83.9
0.838,0,26.88,9.366,118.4,96.1,548,0.849,84.9
0.883,1,26.86,9.357,118.0,96.0,554,0.854,85.4
0.917,2,26.21,9.134,117.7,96.2,530,0.858,85.8
0.950,3,26.54,9.246,117.3,97.0,522,0.845,84.5
0.980,4,26.42,9.204,117.8,96.9,522,0.845,84.5
1.012,5,26.64,9.281,117.9,96.7,536,0.852,85.2
1.042,6,27.02,9.415,118.4,96.3,564,0.858,85.8
1.076,7,26.47,9.222,117.5,96.3,529,0.825,82.5
1.110,8,26.81,9.340,117.6,96.0,542,0.846,84.6
1.140,9,26.09,9.090,117.0,96.0,510,0.865,86.5
1.175,10,27.28,9.505,117.3,96.2,554,0.874,87.4
1.203,11,27.17,9.467,116.7,95.5,556,0.856,85.6
1.255,12,26.28,9.158,116.7,95.7,529,0.890,89.0
1.285,13,26.37,9.186,116.2,95.6,518,0.851,85.1
1.316,14,27.11,9.447,116.4,95.9,538,0.845,84.5
1.349,15,26.57,9.258,116.4,95.6,533,0.863,86.3
1.379,16,26.30,9.164,116.3,95.4,530,0.871,87.1
1.413,17,27.09,9.441,116.7,95.7,552,0.855,85.5
1.445,18,26.80,9.337,116.3,95.4,538,0.845,84.5
1.477,19,27.06,9.429,116.3,95.8,551,0.838,83.8
1.510,20,27.06,9.430,116.4,95.7,558,0.875,87.5
1.542,21,27.09,9.438,116.7,96.2,560,0.867,86.7
1.574,22,26.88,9.365,116.4,95.8,556,0.861,86.1
1.624,23,26.76,9.325,116.0,96.1,545,0.866,86.6
1.654,24,27.47,9.570,116.2,95.8,562,0.854,85.4
1.686,25,27.09,9.439,115.6,96.1,560,0.867,86.7
1.718,26,26.88,9.365,116.0,95.7,550,0.880,88.0
1.750,27,27.91,9.724,116.6,95.6,602,0.865,86.5
1.782,28,27.25,9.493,116.4,95.7,573,0.856,85.6
1.813,29,27.68,9.644,116.6,95.7,578,0.836,83.6
1.847,0,29.06,10.126,117.3,96.2,641,0.894,89.4
1.873,1,31.65,11.028,118.6,96.0,770,0.829,82.9
1.909,2,30.67,10.685,118.1,95.2,722,0.853,85.3
1.957,3,29.50,10.278,117.5,95.8,664,0.843,84.3
1.969,4,29.50,10.278,117.5,95.8,664,0.843,84.3
1.991,5,28.94,10.084,116.8,96.2,640,0.842,84.2
2.050,6,27.81,9.690,116.7,96.4,586,0.858,85.8
2.084,7,27.69,9.650,116.9,96.2,582,0.847,84.7
2.117,8,27.79,9.683,117.4,96.3,590,0.847,84.7
2.149,9,28.22,9.834,117.1,96.7,590,0.854,85.4
2.180,10,26.99,9.405,116.8,96.3,548,0.871,87.1
2.212,11,26.85,9.356,116.2,97.0,542,0.865,86.5
2.245,12,27.33,9.522,116.0,96.8,559,0.844,84.4
2.279,13,27.37,9.538,115.6,96.3,557,0.847,84.7
2.326,14,26.82,9.345,116.4,96.6,544,0.842,84.2
2.337,15,26.82,9.345,116.4,96.6,544,0.842,84.2
2.356,16,27.09,9.438,117.1,96.2,560,0.846,84.6
2.391,17,26.52,9.242,117.0,96.7,534,0.861,86.1
2.451,18,24.63,8.582,116.8,96.8,462,0.868,86.8
2.481,19,24.36,8.487,116.3,96.9,444,0.858,85.8
2.514,20,23.59,8.221,116.0,96.9,418,0.854,85.4
2.548,21,23.03,8.024,115.5,97.0,399,0.858,85.8
2.577,22,22.45,7.823,115.4,96.8,384,0.891,89.1
2.610,23,21.78,7.587,115.2,96.7,366,0.881,88.1
2.658,24,21.42,7.463,115.5,96.7,343,0.861,86.1
2.689,25,21.02,7.325,115.6,96.1,336,0.843,84.3
2.699,26,21.02,7.325,115.6,96.1,336,0.843,84.3
2.721,27,20.71,7.215,116.1,96.4,319,0.890,89.0
2.753,28,20.54,7.157,115.1,96.7,326,0.871,87.1
3.591,22,20.15,7.022,115.2,94.8,304,0.843,84.3
3.686,24,20.47,7.132,114.2,95.9,316,0.874,87.4
3.736,25,20.62,7.183,114.0,96.1,324,0.874,87.4
3.753,26,20.62,7.183,114.0,96.1,324,0.874,87.4
3.766,27,20.57,7.167,115.1,96.1,322,0.827,82.7
3.797,28,20.73,7.224,115.2,95.5,328,0.872,87.2
3.829,29,21.38,7.448,115.4,95.9,348,0.858,85.8
3.859,30,21.65,7.545,115.2,95.5,362,0.872,87.2
3.891,0,22.50,7.839,115.0,94.9,386,0.876,87.6
3.926,1,22.50,7.839,115.6,94.4,387,0.870,87.0
3.960,2,23.01,8.017,115.3,95.0,402,0.858,85.8
3.993,3,23.47,8.178,114.6,95.0,415,0.866,86.6
4.073,4,23.32,8.126,113.9,94.9,410,0.868,86.8
4.100,5,23.47,8.177,113.1,94.4,420,0.858,85.8
4.112,6,23.47,8.177,113.1,94.4,420,0.858,85.8
4.131,7,25.90,9.024,113.9,93.4,508,0.851,85.1
4.164,8,23.89,8.324,116.6,97.4,378,0.699,69.9
4.199,9,29.12,10.145,57.8,119.8,545,0.707,70.7
4.229,10,28.75,10.017,58.2,120.9,508,0.603,60.3
4.330,13,25.78,8.983,114.4,93.6,492,0.855,85.5
4.357,14,29.23,10.184,116.3,92.7,642,0.794,79.4
4.392,15,31.51,10.979,116.3,91.1,648,0.629,62.9
4.439,16,27.75,9.669,115.7,93.0,582,0.797,79.7
4.467,17,27.00,9.407,115.4,93.1,558,0.875,87.5
4.504,18,27.44,9.562,115.5,92.5,571,0.868,86.8
4.533,19,26.63,9.278,114.9,92.8,542,0.851,85.1
4.566,20,25.46,8.871,114.5,93.5,498,0.872,87.2
4.596,21,25.47,8.873,114.5,94.1,490,0.888,88.8
4.629,22,26.13,9.103,115.0,94.5,526,0.842,84.2
4.663,23,25.48,8.878,115.2,94.6,499,0.846,84.6
4.694,24,25.94,9.037,115.7,94.5,517,0.853,85.3
4.726,25,25.97,9.047,115.6,94.5,520,0.865,86.5
4.774,26,25.30,8.814,116.1,94.2,490,0.858,85.8
4.806,27,26.16,9.114,116.3,93.8,522,0.878,87.8
4.837,28,26.99,9.404,116.4,94.4,528,0.854,85.4
4.868,29,26.66,9.290,115.8,94.4,540,0.858,85.8
4.900,0,26.46,9.220,116.0,94.7,524,0.877,87.7
4.934,1,26.76,9.323,115.8,94.3,534,0.831,83.1
