timestamp_s,frame_number,diameter_px,diameter_mm,center_x,center_y,area,circularity,quality_score
0.033,16,26.65,9.287,108.3,101.4,524,0.610,61.0
0.065,17,26.59,9.264,109.4,100.8,516,0.736,73.6
0.097,18,24.85,8.659,108.9,101.2,472,0.722,72.2
0.177,19,26.41,9.204,108.9,102.1,508,0.617,61.7
0.189,20,26.41,9.204,108.9,102.1,508,0.617,61.7
0.208,21,25.62,8.929,108.9,102.3,492,0.686,68.6
0.243,22,26.66,9.288,108.2,101.9,528,0.701,70.1
0.274,23,26.53,9.244,109.1,100.8,534,0.724,72.4
0.306,24,26.86,9.358,109.0,100.2,546,0.674,67.4
0.337,25,26.23,9.139,109.2,100.0,518,0.679,67.9
0.371,26,26.97,9.397,108.7,99.4,541,0.695,69.5
0.436,28,25.53,8.897,108.9,99.3,489,0.743,74.3
0.468,29,25.34,8.831,108.6,99.5,478,0.640,64.0
0.500,30,25.12,8.752,107.7,98.8,484,0.731,73.1
0.578,1,25.64,8.935,106.4,98.5,500,0.702,70.2
0.608,2,25.43,8.860,106.1,98.8,489,0.725,72.5
0.642,3,26.05,9.077,106.0,98.5,524,0.771,77.1
0.672,4,25.81,8.993,105.8,97.5,475,0.744,74.4
0.704,5,25.39,8.847,107.0,97.3,488,0.740,74.0
0.737,6,24.86,8.664,107.8,97.1,462,0.652,65.2
0.770,7,26.19,9.126,107.8,97.2,494,0.768,76.8
0.802,8,26.13,9.104,108.2,96.4,506,0.778,77.8
0.833,9,24.93,8.686,109.3,96.4,464,0.691,69.1
0.879,10,25.62,8.926,109.5,96.5,502,0.691,69.1
0.912,11,25.39,8.845,109.5,97.0,491,0.680,68.0
0.944,12,26.56,9.256,109.7,96.7,529,0.778,77.8
0.976,13,25.26,8.800,110.2,97.4,480,0.796,79.6
1.008,14,24.74,8.620,109.5,97.9,467,0.705,70.5
1.038,15,25.70,8.956,108.1,98.0,474,0.728,72.8
1.070,16,26.53,9.243,108.5,97.6,528,0.740,74.0
1.104,17,25.34,8.828,109.8,96.7,481,0.726,72.6
1.140,18,26.51,9.238,110.8,96.0,528,0.652,65.2
1.168,19,25.58,8.914,111.2,95.7,490,0.708,70.8
1.201,20,25.65,8.936,111.1,96.3,501,0.805,80.5
1.249,21,24.29,8.462,110.9,96.0,438,0.726,72.6
1.281,22,25.83,9.001,110.6,94.9,499,0.721,72.1
1.312,23,24.35,8.484,110.9,95.4,448,0.711,71.1
1.344,24,23.83,8.305,110.3,94.9,425,0.749,74.9
1.379,25,25.20,8.780,109.7,95.1,474,0.753,75.3
1.411,26,23.91,8.331,109.9,95.3,428,0.795,79.5
1.444,27,24.83,8.650,110.7,94.8,467,0.731,73.1
1.475,28,24.54,8.552,111.6,94.7,450,0.748,74.8
1.505,29,23.60,8.223,111.9,94.2,421,0.689,68.9
1.536,0,23.68,8.251,113.1,94.3,418,0.669,66.9
1.590,1,24.99,8.707,112.6,94.2,459,0.738,73.8
1.618,2,24.73,8.618,112.1,94.5,458,0.747,74.7
1.649,3,24.64,8.586,112.0,95.2,460,0.793,79.3
1.684,4,24.70,8.607,112.9,95.0,448,0.744,74.4
1.714,5,24.06,8.384,114.1,94.1,432,0.752,75.2
1.747,6,23.73,8.270,113.8,94.1,413,0.608,60.8
1.809,8,23.26,8.106,112.9,94.4,400,0.760,76.0
1.842,9,23.32,8.126,111.6,93.9,406,0.613,61.3
1.875,10,24.70,8.605,110.3,94.7,464,0.737,73.7
1.908,11,24.95,8.692,110.4,94.1,460,0.743,74.3
1.956,12,24.28,8.458,110.1,92.8,432,0.656,65.6
1.987,13,23.64,8.239,110.0,94.4,420,0.789,78.9
2.016,14,24.49,8.532,109.1,93.5,450,0.728,72.8
2.084,16,23.93,8.338,108.9,93.8,430,0.673,67.3
2.113,17,24.57,8.562,109.1,93.7,446,0.698,69.8
2.146,18,24.64,8.584,108.3,93.9,460,0.769,76.9
2.180,19,25.83,9.001,108.1,94.1,503,0.745,74.5
2.207,20,25.43,8.861,108.3,94.1,494,0.819,81.9
2.239,21,25.54,8.900,107.9,93.5,468,0.766,76.6
2.288,22,25.14,8.760,107.7,94.0,467,0.731,73.1
2.321,23,26.46,9.221,108.2,93.6,508,0.810,81.0
2.354,24,24.63,8.584,108.3,94.0,458,0.761,76.1
2.386,25,23.65,8.239,108.6,93.5,422,0.663,66.3
2.420,26,23.26,8.104,107.9,93.1,408,0.809,80.9
2.451,27,23.21,8.086,107.7,92.8,396,0.763,76.3
2.483,28,20.56,7.163,107.2,93.0,316,0.710,71.0
3.826,8,20.75,7.230,106.9,88.3,323,0.759,75.9
3.858,9,20.42,7.114,107.0,88.2,312,0.686,68.6
3.890,10,20.75,7.230,107.6,88.4,315,0.741,74.1
3.954,12,20.59,7.174,106.9,88.1,321,0.755,75.5
3.988,13,21.18,7.379,107.3,88.1,342,0.719,71.9
4.020,14,21.40,7.457,108.0,88.4,338,0.705,70.5
4.068,15,21.97,7.654,108.5,87.3,360,0.711,71.1
4.099,16,22.40,7.803,108.2,87.7,384,0.819,81.9
4.111,17,22.40,7.803,108.2,87.7,384,0.819,81.9
4.165,18,22.04,7.679,108.0,86.4,372,0.720,72.0
4.198,19,22.87,7.969,108.0,86.3,392,0.678,67.8
4.227,20,23.05,8.032,108.2,86.2,404,0.769,76.9
4.260,21,22.75,7.928,107.8,86.4,396,0.769,76.9
4.290,22,23.65,8.239,108.2,86.6,416,0.727,72.7
4.323,23,23.28,8.113,107.0,87.7,408,0.809,80.9
4.353,24,23.56,8.208,107.3,87.6,408,0.705,70.5
4.386,25,22.59,7.870,108.4,87.0,383,0.738,73.8
4.434,26,23.23,8.093,108.6,87.0,408,0.755,75.5
4.446,27,23.23,8.093,108.6,87.0,408,0.755,75.5
4.465,28,23.60,8.222,108.6,86.5,400,0.665,66.5
4.498,29,24.06,8.382,108.6,86.8,424,0.806,80.6
4.567,30,25.04,8.725,110.3,85.4,472,0.815,81.5
4.596,0,24.27,8.457,110.5,84.7,446,0.824,82.4
4.626,1,24.70,8.607,110.2,85.6,456,0.739,73.9
4.658,2,24.44,8.517,110.4,85.7,446,0.755,75.5
4.689,3,25.69,8.953,110.1,84.8,486,0.742,74.2
4.723,4,24.70,8.606,110.6,85.9,456,0.733,73.3
4.773,5,23.71,8.260,110.2,85.6,422,0.738,73.8
4.801,6,24.36,8.487,109.8,85.8,455,0.751,75.1
4.815,7,24.36,8.487,109.8,85.8,455,0.751,75.1
4.831,8,24.81,8.643,109.3,85.6,464,0.735,73.5
4.866,9,24.63,8.583,109.9,84.7,462,0.752,75.2
4.899,10,24.69,8.603,109.1,84.6,456,0.767,76.7
4.966,11,24.31,8.469,108.2,85.2,442,0.725,72.5
4.993,12,23.68,8.252,107.6,85.2,426,0.792,79.2
5.025,13,23.51,8.190,106.6,84.8,418,0.752,75.2
5.057,14,24.90,8.674,106.3,84.7,476,0.815,81.5
5.089,15,22.60,7.876,106.3,85.2,390,0.774,77.4
5.139,16,22.74,7.924,105.9,85.3,394,0.785,78.5
5.152,17,22.74,7.924,105.9,85.3,394,0.785,78.5
5.168,18,22.50,7.840,106.2,85.4,380,0.706,70.6
5.199,19,23.56,8.208,110.0,84.7,416,0.779,77.9
5.234,20,23.62,8.231,110.9,85.5,412,0.731,73.1
5.267,21,22.90,7.978,112.0,84.1,392,0.736,73.6
5.299,22,23.00,8.013,112.2,85.0,396,0.791,79.1
5.365,23,22.85,7.963,111.8,84.4,394,0.769,76.9
5.393,24,23.76,8.278,111.5,84.8,418,0.826,82.6
5.426,25,22.64,7.889,111.1,85.2,382,0.707,70.7
5.474,26,23.06,8.034,111.0,85.1,392,0.736,73.6
5.505,27,23.40,8.153,110.3,84.3,406,0.822,82.2
5.517,28,23.40,8.153,110.3,84.3,406,0.822,82.2
5.537,29,23.75,8.277,111.1,84.1,424,0.753,75.3
5.571,30,23.63,8.234,111.4,84.3,428,0.828,82.8
5.602,0,23.48,8.182,111.9,84.0,416,0.831,83.1
5.636,1,23.20,8.084,112.4,83.3,401,0.742,74.2
5.667,2,23.26,8.106,111.2,83.8,410,0.762,76.2
5.699,3,23.76,8.278,111.7,83.4,436,0.794,79.4
5.766,4,23.54,8.202,111.2,82.7,422,0.774,77.4
5.793,5,23.01,8.016,111.3,82.5,406,0.811,81.1
5.845,6,23.43,8.164,110.9,82.2,417,0.765,76.5
5.856,7,23.43,8.164,110.9,82.2,417,0.765,76.5
5.873,8,24.34,8.481,110.1,82.4,450,0.813,81.3
5.905,9,22.90,7.979,111.3,82.5,400,0.745,74.5
5.939,10,24.79,8.637,110.9,81.9,464,0.786,78.6
5.971,11,25.04,8.724,110.5,82.7,478,0.814,81.4
6.003,12,23.35,8.135,110.4,82.1,410,0.737,73.7
6.032,13,24.33,8.477,109.8,83.0,442,0.692,69.2
6.064,14,23.85,8.309,111.2,83.1,438,0.776,77.6
6.099,15,24.21,8.436,111.1,82.3,442,0.811,81.1
6.180,16,24.03,8.374,111.8,81.6,444,0.788,78.8
6.206,17,24.28,8.461,111.6,80.8,450,0.793,79.3
6.217,18,24.28,8.461,111.6,80.8,450,0.793,79.3
6.239,19,24.83,8.651,111.8,80.7,463,0.773,77.3
6.274,20,24.50,8.538,111.9,80.7,462,0.789,78.9
6.304,21,24.85,8.660,111.4,80.8,474,0.808,80.8
6.338,22,25.16,8.767,110.9,80.3,476,0.807,80.7
6.372,23,24.43,8.513,111.3,80.2,446,0.770,77.0
6.403,24,24.57,8.560,111.5,79.8,456,0.809,80.9
6.434,25,25.33,8.824,112.2,79.9,478,0.784,78.4
6.466,26,24.40,8.501,112.3,79.5,454,0.722,72.2
6.499,27,23.86,8.314,112.3,79.5,434,0.716,71.6
6.548,28,24.10,8.399,112.7,79.5,425,0.670,67.0
6.578,29,24.56,8.556,112.9,79.2,460,0.770,77.0
6.611,0,24.19,8.429,113.4,79.0,448,0.763,76.3
6.642,1,24.10,8.397,113.2,79.0,444,0.761,76.1
6.674,2,24.72,8.612,113.1,79.1,468,0.772,77.2
6.707,3,24.86,8.662,113.6,78.9,471,0.814,81.4
6.737,4,24.60,8.570,113.9,78.7,463,0.744,74.4
6.773,5,24.74,8.620,113.0,79.2,472,0.770,77.0
6.803,6,25.42,8.857,112.7,79.1,486,0.823,82.3
6.831,7,24.59,8.568,112.0,79.6,459,0.832,83.2
6.882,8,24.33,8.476,110.8,80.6,453,0.792,79.2
6.911,9,24.37,8.493,111.2,81.3,445,0.763,76.3
6.946,10,25.79,8.987,111.0,80.5,494,0.778,77.8
6.978,11,24.61,8.574,110.5,80.6,456,0.728,72.8
7.011,12,25.58,8.913,110.7,80.5,492,0.787,78.7
7.044,13,24.89,8.673,111.0,80.5,469,0.774,77.4
7.072,14,24.72,8.613,110.4,80.4,472,0.822,82.2
7.105,15,25.31,8.818,110.8,80.2,488,0.849,84.9
7.143,16,25.27,8.805,111.5,80.5,482,0.786,78.6
7.172,17,24.72,8.613,111.7,79.9,458,0.771,77.1
7.202,18,25.24,8.794,111.3,80.3,486,0.809,80.9
7.251,19,25.11,8.749,111.7,80.5,486,0.834,83.4
7.282,20,25.35,8.834,112.2,80.4,492,0.817,81.7
7.315,21,25.19,8.777,112.7,80.2,485,0.794,79.4
7.344,22,25.22,8.787,113.5,80.2,492,0.800,80.0
7.379,23,24.54,8.551,113.3,80.3,465,0.768,76.8
7.411,24,25.62,8.926,113.2,80.5,500,0.751,75.1
7.444,25,26.12,9.101,112.5,79.7,526,0.774,77.4
7.475,26,26.63,9.278,112.7,80.5,534,0.845,84.5
7.507,27,26.82,9.346,113.6,79.8,539,0.822,82.2
7.539,28,26.08,9.087,114.1,80.0,527,0.781,78.1
7.571,29,25.48,8.878,114.3,80.3,492,0.714,71.4
7.616,30,25.34,8.829,114.0,80.2,486,0.756,75.6
7.646,0,25.15,8.764,113.8,80.3,484,0.809,80.9
7.678,1,23.97,8.352,114.6,80.4,442,0.713,71.3
7.710,2,25.60,8.919,113.7,80.5,499,0.787,78.7
7.742,3,25.52,8.892,114.3,80.5,486,0.766,76.6
7.774,4,25.28,8.808,115.2,81.3,480,0.696,69.6
7.806,5,25.30,8.816,117.3,80.4,477,0.812,81.2
7.838,6,25.05,8.730,118.0,80.6,474,0.781,78.1
