timestamp_s,diameter_mm,quality_score
0.043,22.294,100
0.076,22.294,100
0.125,22.294,100
0.157,22.294,100
0.205,22.294,100
0.237,22.294,100
0.285,22.294,100
0.317,22.294,100
0.365,22.294,100
0.397,22.294,100
0.445,22.294,100
0.477,22.294,100
0.525,22.294,100
0.557,22.294,100
0.605,22.294,100
0.637,22.294,100
0.685,22.294,100
0.717,22.294,100
0.764,22.294,100
0.797,22.294,100
0.844,22.294,100
0.876,22.294,100
0.925,22.294,100
0.957,22.294,100
1.005,22.294,100
1.037,22.294,100
1.084,22.294,100
1.117,22.294,100
1.165,22.294,100
1.197,22.294,100
1.244,22.294,100
1.277,22.294,100
1.325,22.294,100
1.358,22.294,100
1.405,22.294,100
1.437,22.294,100
1.485,22.294,100
1.517,22.294,100
1.564,22.294,100
1.597,22.294,100
1.645,22.294,100
1.677,22.294,100
1.725,22.294,100
1.757,22.294,100
1.805,22.294,100
1.838,22.294,100
1.885,22.294,100
1.917,22.294,100
1.965,22.294,100
1.997,22.294,100
2.043,22.294,100
2.077,22.294,100
2.124,22.294,100
2.157,22.294,100
2.204,22.294,100
2.237,22.294,100
2.284,22.294,100
2.317,22.294,100
2.364,22.294,100
2.397,22.294,100
2.446,22.294,100
2.477,22.294,100
2.525,22.294,100
2.556,22.294,100
2.604,22.294,100
2.637,22.294,100
2.685,22.294,100
2.717,22.294,100
2.765,22.294,100
2.796,22.294,100
2.845,22.294,100
2.877,22.294,100
2.925,22.294,100
2.957,22.294,100
3.008,22.294,100
3.034,22.294,100
3.084,22.294,100
3.117,22.294,100
3.165,22.294,100
3.197,22.294,100
3.245,22.294,100
3.277,22.294,100
3.325,22.294,100
3.356,22.294,100
3.405,22.294,100
3.437,22.294,100
3.485,22.294,100
3.516,22.294,100
3.564,22.294,100
3.597,22.294,100
3.644,22.294,100
3.677,22.294,100
3.724,22.294,100
3.757,22.294,100
3.804,22.294,100
3.838,22.294,100
3.885,22.294,100
3.917,22.294,100
3.964,22.294,100
3.996,22.294,100
4.044,22.294,100
4.077,22.294,100
4.125,22.294,100
4.156,22.294,100
4.205,22.294,100
4.237,22.294,100
4.285,22.294,100
4.317,22.294,100
4.364,22.294,100
4.397,22.294,100
4.445,22.294,100
4.476,22.294,100
4.524,22.294,100
4.557,22.294,100
4.604,22.294,100
4.636,22.294,100
4.684,22.294,100
4.716,22.294,100
4.764,22.294,100
4.797,22.294,100
4.844,22.294,100
4.876,22.294,100
4.924,22.294,100
4.956,22.294,100
5.004,22.294,100
5.036,22.294,100
5.085,22.294,100
5.116,22.294,100
5.164,22.294,100
5.196,22.294,100
5.244,22.294,100
5.276,22.294,100
5.324,22.294,100
5.356,22.294,100
5.404,22.294,100
5.436,22.294,100
5.484,22.294,100
5.517,22.294,100
5.564,22.294,100
5.596,22.294,100
5.645,22.294,100
5.677,22.294,100
5.724,22.294,100
5.756,22.294,100
5.804,22.294,100
5.837,22.294,100
5.884,22.294,100
5.916,22.294,100
5.964,22.294,100
5.997,22.294,100
6.044,22.294,100
6.076,22.294,100
6.124,22.294,100
6.156,22.294,100
6.205,22.294,100
6.236,22.294,100
6.284,22.294,100
6.317,22.294,100
6.364,22.294,100
6.397,22.294,100
6.444,22.294,100
6.476,22.294,100
6.524,22.294,100
6.556,22.294,100
6.604,22.294,100
6.636,22.294,100
6.682,22.294,100
6.714,22.294,100
6.764,22.294,100
6.795,22.294,100
6.844,22.294,100
6.876,22.294,100
6.924,22.294,100
6.954,22.294,100
7.003,22.294,100
7.036,22.294,100
7.084,22.294,100
7.114,22.294,100
7.162,22.294,100
7.194,22.294,100
7.243,22.294,100
7.274,22.294,100
7.323,22.294,100
7.356,22.294,100
7.403,22.294,100
7.436,22.294,100
7.483,22.294,100
7.516,22.294,100
7.562,22.294,100
7.595,22.294,100
7.643,22.294,100
7.675,22.294,100
7.722,22.294,100
7.755,22.294,100
7.804,22.294,100
7.836,22.294,100
7.883,22.294,100
7.916,22.294,100
7.964,22.294,100
7.996,22.294,100
