timestamp,frame_id,detected,center_x,center_y,diameter_maj,diameter_min,area,circularity,aspect_ratio
2025-11-24T15:15:15.143006,0,True,234.7900848388672,352.3968505859375,12.213688850402832,12.977479934692383,107.5,0.8143926149696719,1.0625355722672425
2025-11-24T15:15:15.157060,1,False,,,,,,,
2025-11-24T15:15:15.190717,2,False,,,,,,,
2025-11-24T15:15:15.224162,3,False,,,,,,,
2025-11-24T15:15:15.256472,4,False,,,,,,,
2025-11-24T15:15:15.287704,5,False,,,,,,,
2025-11-24T15:15:15.338486,6,False,,,,,,,
2025-11-24T15:15:15.365196,7,False,,,,,,,
2025-11-24T15:15:15.398356,8,False,,,,,,,
2025-11-24T15:15:15.431664,9,True,254.62672424316406,379.255859375,12.242498397827148,15.720434188842773,109.0,0.7588559906693126,1.2840869889389501
2025-11-24T15:15:15.461383,10,True,481.6368408203125,17.813291549682617,10.188177108764648,14.661681175231934,112.5,0.757058551030867,1.4390876385071083
2025-11-24T15:15:15.492767,11,True,482.8976745605469,27.589847564697266,15.534211158752441,24.67601203918457,260.0,0.7107825700072551,1.58849459419037
2025-11-24T15:15:15.526097,12,False,,,,,,,
2025-11-24T15:15:15.564559,13,True,296.21832275390625,362.6109924316406,12.687183380126953,15.186895370483398,133.5,0.8385591241556667,1.1970264572076341
2025-11-24T15:15:15.588586,14,True,356.1064453125,356.6597900390625,10.636503219604492,13.787901878356934,109.0,0.7839796604956941,1.2962813339503028
2025-11-24T15:15:15.621324,15,False,,,,,,,
2025-11-24T15:15:15.656169,16,False,,,,,,,
2025-11-24T15:15:15.706977,17,False,,,,,,,
2025-11-24T15:15:15.735174,18,False,,,,,,,
2025-11-24T15:15:15.768768,19,True,86.67031860351562,43.484928131103516,9.721443176269531,13.984169006347656,100.0,0.7192473949501782,1.4384867878461538
2025-11-24T15:15:15.798626,20,False,,,,,,,
2025-11-24T15:15:15.828710,21,False,,,,,,,
2025-11-24T15:15:15.864791,22,True,2.306831121444702,311.2378845214844,12.10458755493164,16.773927688598633,102.0,0.7217336589896984,1.3857495124660486
2025-11-24T15:15:15.894047,23,True,415.52093505859375,356.66314697265625,9.810751914978027,15.325006484985352,115.0,0.7533200415960865,1.562062220687338
2025-11-24T15:15:15.927269,24,False,,,,,,,
